Tweet Text,Tweet Datetime,Tweet Id,User Id,User Name,Tweet Coordinates,Place Info,Country,Hashtags,Retweets,Favorites,Language,Source,Replied Tweet Id,Replied Tweet User Id
"RT @XantheBearman: “‘You can’t make me’ is the response a young child having a tantrum makes.....”. #WearAMask 

If you’re a #NoMask cretin…",2020-07-15 08:25:17,1283316694954508294,107587183,Wolfenband,,,,"['WearAMask', 'NoMask']",90,0,en,Twitter for Android,,
@Blast_Fr0m_Past #NoMask,2020-07-15 08:26:53,1283317095879643136,1271195541230309377,MarkusFlemming3,,,,['NoMask'],0,0,und,Twitter Web App,1.2833168894401905e+18,3404578630.0
RT @DannyG8991: When I see #NoMask trending. Be more like Batman! https://t.co/Vg7lvdVK9P,2020-07-15 08:33:52,1283318854618361859,1850784692,apt_hq,,,,['NoMask'],146,0,en,Twitter for Android,,
"@MattHancock @BorisJohnson Kids shut out of school, deprived learning &amp; being with friends doing what kids do all in the name of protecting their health, yet under 11s do not need to wear a mask in shops meaning their health really doesn't matter after all? Which is it?
#NoMask",2020-07-15 08:37:14,1283319703516176386,1180956115984699393,SooziScoones,,,,['NoMask'],0,0,en,Twitter Web App,,19825835.0
RT @AuralineLotus: To all #nomask-ers https://t.co/3CBJqqS1wE,2020-07-15 08:40:09,1283320434176532480,1174021470449745921,FAKELH44,,,,['nomask'],6,0,en,Twitter for iPhone,,
Yes! Katie Hopkins hitting home with facts and banging the nail right on the head yet again! #NoMaskOnMe #nomask #Muzzles #masksdontwork #coronabollocks #plandemic #projectlockstep #hoaxvirus #fakevirus https://t.co/mHbdwAxWzq,2020-07-15 08:40:22,1283320491319726080,1247902198660345860,isnt_it_red,,,,"['NoMaskOnMe', 'nomask', 'Muzzles', 'masksdontwork', 'coronabollocks', 'plandemic', 'projectlockstep', 'hoaxvirus', 'fakevirus']",4,9,en,Twitter for iPhone,,
#NoMask #novaccines https://t.co/y2zDR3rlUO,2020-07-15 08:42:03,1283320911916077057,1260881890338357248,salma13151719,,,,"['NoMask', 'novaccines']",0,0,und,Twitter for Android,,
#NoMask (just saying),2020-07-15 08:44:02,1283321413965930497,1099224451114328064,History_Thieves,,,,['NoMask'],0,1,en,Twitter Web App,,
"If you have a problem with people opposing masks, I hope you enjoy living under a dictatorship. By the way you wont qualify as a human being this time next year. #NoMask",2020-07-15 08:48:17,1283322484176105472,1247467214992748544,zukibites,,,,['NoMask'],8,12,en,Twitter Web App,,
"#NoMasks Trending on social media in the UK.

#coronavirus #UnitedKingdom
#Trending  #socialmedia  #UK #COVID19   #NoMask  #British 

https://t.co/ESVm3a3dRj",2020-07-15 08:50:13,1283322970895716352,3336173891,IdreesGhumman,,,,"['NoMasks', 'coronavirus', 'UnitedKingdom', 'Trending', 'socialmedia', 'UK', 'COVID19', 'NoMask', 'British']",0,0,en,Twitter for Android,,
"@CoatesDavidJohn @legallyginge @Spiderpats @gardenerinwales @PaulEmbery Yes! The 'protect you' argument. Boom! 

Rubbish.

If muzzles had any real effect they'd have been used at the start of this panic driven crisis.

I'll look after myself thanks; take my own risks, evaluate them and decide.

Still no clear evidence.

#NoMask",2020-07-15 08:50:39,1283323077435195392,1269216361307353090,AlexMcNeil14,,,,['NoMask'],1,1,en,Twitter Web App,1.2833223158712689e+18,3070249817.0
"Masks DO NOT work

From the Association of American Physicians and Surgeons

#NoMask #MaskNazis #MaskBullies

https://t.co/HwhVwo038o",2020-07-15 08:50:42,1283323089368109058,1101968098293399561,Mareq16,,,,"['NoMask', 'MaskNazis', 'MaskBullies']",88,88,en,Twitter for Android,,
"https://t.co/PB9VqwdIaP

#NoMask 
@BritainFree #KBF https://t.co/171piNE1qN",2020-07-15 08:52:57,1283323657062883329,51220592,martingmitchell,,,,"['NoMask', 'KBF']",0,0,und,Twitter Web App,,
"RT @CoronaDoubter: real watershed moment this shop mask rule #NoMask 

they have misread public opinion on a massive scale

I sense and adj…",2020-07-15 08:54:06,1283323947325558784,3030359023,Morris8Roz,,,,['NoMask'],169,0,en,Twitter for Android,,
@MoriartyBaron KEEP #NoMask trending!!!!,2020-07-15 08:57:14,1283324736546775040,1257691800690720768,TheFreePeopleA1,,,,['NoMask'],28,45,en,Twitter Web App,1.283322031153582e+18,1.2596182203334656e+18
This whole #NoMask thing has just made me realise how much I hate people,2020-07-15 08:58:01,1283324931305070592,501617458,aliinamalaii,,,,['NoMask'],0,2,en,Twitter for iPhone,,
RT @G_Tangle17: For the #NoMask and #NoMaskOnMe idiots.. https://t.co/qYTexlKohA,2020-07-15 08:58:52,1283325146460237825,961344396104032256,Jatinde63137869,,,,"['NoMask', 'NoMaskOnMe']",273,0,en,Twitter for Android,,
"It is because the #NoMask brigade are egotistical, uncaring idiots who appear to have a death wish.
#WearAMask https://t.co/MBTfkSI5aT",2020-07-15 08:59:47,1283325376752766978,701057298727358468,robin_bike,,,,"['NoMask', 'WearAMask']",0,0,en,Twitter Web App,,
"RT @CoronaDoubter: real watershed moment this shop mask rule #NoMask 

they have misread public opinion on a massive scale

I sense and adj…",2020-07-15 09:00:57,1283325670756626432,1068869334225821696,KevinSm00699778,,,,['NoMask'],169,0,en,Twitter Web App,,
"Those who feel their liberties have been taken away in the UK, the #NoMask crowd/cunts: take a look at the far East, culture shifted to #WearAMask a LONG time ago. Vietnam had zero deaths, wonder why.
Then look at Hong Kong; how you feel about your own freedom now? Dicks",2020-07-15 09:00:58,1283325675370356738,17444719,FluxMarsh,,,,"['NoMask', 'WearAMask']",0,0,en,Twitter for Android,,
RT @ilo994: Hope that there are no more more questions about #mask  or #nomask.,2020-07-15 09:02:45,1283326122483240961,4845050404,ilo994,,,,"['mask', 'nomask']",1,0,en,Twitter for Android,,
@simondolan @RealCarlVernon @sapiofoxy @MinistryDissent @BritainFree @NeilClark66 @_kevin_dela @davidkurten #NoToMasks #NoMaskOnMe #NoMask Houses of Parliament: NO to mandatory face coverings in the U​.​K - Sign the Petition! https://t.co/EjJcXHUyIZ via @UKChange,2020-07-15 09:09:40,1283327862615965696,3207787769,Pitchfader83,,,,"['NoToMasks', 'NoMaskOnMe', 'NoMask']",2,1,en,Twitter for Android,,54935934.0
"RT @Tpopularfront: If you refuse to wear a mask while shopping then you're a selfish cunt. 

Come at me. 

#NoMask",2020-07-15 09:13:57,1283328941889998849,402740477,Kimby_V,,,,['NoMask'],116,0,en,Twitter for Android,,
"RT @gletherby: WEAR A MASK, it's the right thing to do #NoMask https://t.co/aGWxiDiSjz",2020-07-15 09:20:03,1283330477835923462,389516094,mconway70,,,,['NoMask'],102,0,en,Twitter for Android,,
"#BorisHasFailedTheUK #NoMask #COVID19

To all wondering why we say no to masks. It is because a line has been crossed. We did what was asked but now our whole way of life is changing. You ask us to get perspective. Perhaps it is you who needs to do that before it's too late.",2020-07-15 09:26:29,1283332095557894145,3324350872,GFL9112,,,,"['BorisHasFailedTheUK', 'NoMask', 'COVID19']",9,36,en,Twitter for Android,,
"RT @CoronaDoubter: real watershed moment this shop mask rule #NoMask 

they have misread public opinion on a massive scale

I sense and adj…",2020-07-15 09:28:28,1283332593463832576,3166121704,Political_JJ,,,,['NoMask'],169,0,en,Twitter Web App,,
"@richardosman #BorisHasFailedTheUK #NoMask #COVID19

To all wondering why we say no to masks. It is because a line has been crossed. We did what was asked but now our whole way of life is changing. You ask us to get perspective. Perhaps it is you who needs to do that before it's too late.",2020-07-15 09:28:48,1283332677270200320,3324350872,GFL9112,,,,"['BorisHasFailedTheUK', 'NoMask', 'COVID19']",2,15,en,Twitter for Android,1.2829989513278013e+18,31173665.0
@Telegraph @allisonpearson @allisonpearson. BRAVO! Finally someone standing up to these crazy dictators. Masks and vaccines are just another way the government is trying to control us! #nomask #novaccine.,2020-07-15 09:29:06,1283332755896643595,1276631938346991616,tomdze,,,,"['nomask', 'novaccine']",1,0,en,Twitter for Android,1.283313952504656e+18,16343974.0
RT @isnt_it_red: Yes! Katie Hopkins hitting home with facts and banging the nail right on the head yet again! #NoMaskOnMe #nomask #Muzzles…,2020-07-15 09:32:41,1283333655046377472,723193674989867008,NigMelia,,,,"['NoMaskOnMe', 'nomask', 'Muzzles']",4,0,en,Twitter Web App,,
#NoMask I pledge to not wear a mask until or unless it can scientifically be proven to actually be a benefit.  I will not deprive myself of oxygen or trap bacteria and CO2 inside my lung just because a megalomaniac governor told me to.,2020-07-15 09:33:39,1283333899557502976,24598047,Rabiddogg,,,,['NoMask'],0,0,en,TweetDeck,,
@DHSCgovuk @HMGNorth @MattHancock @UKParliament @NHSEngland @PHE_uk How long will this last? #NoMask,2020-07-15 09:34:52,1283334203669651458,706141877100216320,HydroSmartLtd,,,,['NoMask'],0,0,en,Twitter Web App,1.2830949107622093e+18,37963496.0
"RT @V5M1000: Well done and thank you to Sir Desmond Swayne (@DesmondSwayne) for speaking up. 

#NoMaskOnMe #NoMask",2020-07-15 09:34:54,1283334212884537345,2651046240,VoltaireLXIX,,,,"['NoMaskOnMe', 'NoMask']",40,0,en,Twitter for iPhone,,
"@rhiannydd_rees @LeahButlerSmith @simondolan @ukcolumn Sorry. Totally misread your response 🤦‍♂️

#nomask idiots got my brain frazzled.",2020-07-15 09:37:47,1283334939346382848,148695028,bernardcribbinz,,,,['nomask'],0,0,en,Twitter for iPhone,1.2833335093823734e+18,346178546.0
"Seeing the #nomask hashtag trending or even existing is terrifying

Mask the f*ck up so we can get through this. So we can all get back to work without fear.

Mask the f*ck up so those we love who are suffering from the stress &amp; anxiety of all this can start living normally again https://t.co/CtOF3LIaoe",2020-07-15 09:38:38,1283335155021746177,1267638714,ColinJMcCracken,,,,['nomask'],1,7,en,Twitter Web App,,
science and engineering is out! https://t.co/MpZ0nuGtZ8 Stories via @mhmddeeb5 @thaiyaan @PeterWakeham6 #books #nomask,2020-07-15 09:39:33,1283335383913320450,26549375,TheCFOBlog,,,,"['books', 'nomask']",0,0,en,Paper.li,,
"RT @gletherby: WEAR A MASK, it's the right thing to do #NoMask https://t.co/aGWxiDiSjz",2020-07-15 09:42:17,1283336070948630528,1600185620,rbrigue,,,,['NoMask'],102,0,en,Twitter for Android,,
"RT @captainwizard: #NoMask - I have Asthma, and wear glasses and have been wearing a mask from when it started in shops - does anyone need…",2020-07-15 09:44:21,1283336590618701824,55184447,happyforalltime,,,,['NoMask'],22,0,en,Twitter for Android,,
"RT @PiersMogan_GMB: I do have small sympathy for the #NoMask morons. Boris hasn’t exactly been consistent, we’re 5 months into a worldwide…",2020-07-15 09:50:09,1283338050232299520,347338583,MRDAVIDCANDLIN,,,,['NoMask'],10,0,en,Twitter for Android,,
"RT @gletherby: WEAR A MASK, it's the right thing to do #NoMask https://t.co/aGWxiDiSjz",2020-07-15 09:50:53,1283338235230523394,566278892,nickynoo007,,,,['NoMask'],102,0,en,Twitter for Android,,
"You don't want to wear a mask, thats fine. If you want to be a snowflake about wearing a mask to help protect people then you carry on with your Toddler Tantrums about it, Just STAY THE FUCK AWAY FROM ANYONE I CARE ABOUT, ANYONE VULNERABLE AND ME! #NoMask #WearAMask #MaskMoaners",2020-07-15 09:52:16,1283338585459118081,185211442,fluffysammy,,,,"['NoMask', 'WearAMask', 'MaskMoaners']",1,4,en,Twitter Web App,,
"Wearing a mask
- bring the focus to your beautiful eyes
- no worries about having food in your teeth
- wear a ball gag covertly

Wearing #nomask
- nobody wants to smell your breath
- people can see your crooked yellow teeth
- seriously lol why are you so scared of wearing a mask",2020-07-15 09:55:08,1283339308011790336,1246067992913276931,advicefromphil,,,,['nomask'],32,77,en,Twitter for Android,,
"RT @gletherby: WEAR A MASK, it's the right thing to do #NoMask https://t.co/aGWxiDiSjz",2020-07-15 09:59:47,1283340476653998080,1247565030830342144,CuriousLemon1,,,,['NoMask'],102,0,en,Twitter for Android,,
"Are these repeated COVID-19 humiliations a precursor to rejoining the EU, like James II's attempt to take England back to Catholicism? Well, @BorisJohnson? #NoMask #BorisHasFailedTheUK #Covid19UK",2020-07-15 10:09:00,1283342794262818816,2366735545,hegartymst,,,,"['NoMask', 'BorisHasFailedTheUK', 'Covid19UK']",1,2,en,Twitter Web App,,
