Tweet Text,Tweet Datetime,Tweet Id,User Id,User Name,Tweet Coordinates,Place Info,Country,Hashtags,Retweets,Favorites,Language,Source,Replied Tweet Id,Replied Tweet User Id
"@PeytonRoyceWWE @RebelScumGonzo The one thing that’s worrisome?

#NoMask
#SocialDistanacing

🙏🏼",2020-06-01 03:56:10,1267303901742727170,2964507640,TitleChase,,,,"['NoMask', 'SocialDistanacing']",0,2,en,Twitter for iPad,1.2672902077260268e+18,571864363.0
"Glad to be part of a Peaceful Protest today at Capital to open tourism, remove restrictions, no masks, NO FEAR #OpenHawaiiNow #NoMask #NoMasks #SmilesAreAloha #Hawaii #OpenAmericaNOW #protest @GovHawaii @MayorKirkHNL @HawaiiSenate @HawaiiHTA @foxnewstalk @808Now @KHONnews @KITV4 https://t.co/9N9qN2J7gk",2020-06-01 04:19:35,1267309796018937856,1264267972773740544,TH808HI,,,,"['OpenHawaiiNow', 'NoMask', 'NoMasks', 'SmilesAreAloha', 'Hawaii', 'OpenAmericaNOW', 'protest']",2,5,en,Twitter for Android,,
"RT @Stefbazzi: #NoVax
#NoMask
#NoBrain 🤣🤣🤣 https://t.co/QsdFzl9hdl",2020-06-01 09:22:34,1267386042996322304,861671125033639941,MauriNewWorld,,,,"['NoVax', 'NoMask', 'NoBrain']",48,0,und,Twitter for Android,,
@s_brusaferro #Locatelli @azangrillo vi ha asfaltato. Molto presto sapremo tutta la verità su quello che è stato fatto...il.popolo si sta svegliando. #nomask #noapp #ImmuniApp @matteosalvinimi @zaiapresidente @FontanaPres svegliatevi https://t.co/jXbc5XLJTi,2020-06-01 10:15:42,1267399414886383616,396551062,christi55392032,,,,"['Locatelli', 'nomask', 'noapp', 'ImmuniApp']",0,0,it,Twitter for Android,,7.750546594930033e+17
"#Mascherine obbligatorie, Tar #Liguria respinge ricorso contro ordinanza sindaco di #Genova #MarcoBucci https://t.co/he7jxywuov  #mascherina #mascherineobbligatorie #nomask #NoMasks #nomascherine #Genovesi costretti alle #mascherine #Diciamobasta",2020-06-01 11:06:21,1267412162038968322,4249591816,AnticomunistaA1,,,,"['Mascherine', 'Liguria', 'Genova', 'MarcoBucci', 'mascherina', 'mascherineobbligatorie', 'nomask', 'NoMasks', 'nomascherine', 'Genovesi', 'mascherine', 'Diciamobasta']",1,1,it,Twitter Web App,,
Buon 1 giugno dalla Verde Umbria #1giugno #covidfree #nomask https://t.co/kFCDB69Hkw,2020-06-01 13:13:09,1267444073708892162,1218310680400551937,Lalla702,,,,"['1giugno', 'covidfree', 'nomask']",8,33,it,Twitter for Android,,
A corredo del tw precedente..  #estate #umbria #nomask https://t.co/iK0HpznkNs,2020-06-01 14:47:08,1267467722188828674,1218310680400551937,Lalla702,,,,"['estate', 'umbria', 'nomask']",5,12,es,Twitter for Android,,
"Those were the days 😍
.
.
.
.
.
#cabincrewlife #cabincrewday #cabinlife #cabincrew #aircraft #aircraftphotography #aircraftdoor #airhostess #sky #windyday #hair #nomask #beforecovid19 #gocoronago #inthistogether… https://t.co/ErformmFF9",2020-06-01 16:07:23,1267487919704616962,947030589999218688,IflahKhan1,"[73.77216664, 15.62093824]","Siolim, India",IN,"['cabincrewlife', 'cabincrewday', 'cabinlife', 'cabincrew', 'aircraft', 'aircraftphotography', 'aircraftdoor', 'airhostess', 'sky', 'windyday', 'hair', 'nomask', 'beforecovid19', 'gocoronago', 'inthistogether']",0,0,en,Instagram,,
RT @Lalla702: A corredo del tw precedente..  #estate #umbria #nomask https://t.co/iK0HpznkNs,2020-06-01 16:56:38,1267500313029869574,985189174365048833,Mascherino2,,,,"['estate', 'umbria', 'nomask']",5,0,es,Twitter for Android,,
"https://t.co/jXLvL8f3wK Bucci : ""Penso di ricandidarmi"" #MarcoBucci #MarcoBuccisindaco #Genova #Liguria #mascherine #mascherina #nomask #nomasks  Se si ricandiderà non credo che lo voteremo ancora, non credo che voteremo il candidato delle #mascherineobbligatorie dappertutto https://t.co/NPAdE0dIhA",2020-06-01 18:54:34,1267529991086116864,4249591816,AnticomunistaA1,,,,"['MarcoBucci', 'MarcoBuccisindaco', 'Genova', 'Liguria', 'mascherine', 'mascherina', 'nomask', 'nomasks', 'mascherineobbligatorie']",1,1,it,Twitter Web App,,
Finalmente disponibile l'app #Immuni per tracciare i malati Covid. In contemporanea esce l'app Scimuni per quelli che non credono al Covid o ritengono le mascherine  pericolose #ImmuniApp #nomask,2020-06-01 19:26:20,1267537985433751552,481133331,juppemar,,,,"['Immuni', 'ImmuniApp', 'nomask']",0,1,it,Twitter for Android,,
