Tweet Text,Tweet Datetime,Tweet Id,User Id,User Name,Tweet Coordinates,Place Info,Country,Hashtags,Retweets,Favorites,Language,Source,Replied Tweet Id,Replied Tweet User Id
@SecondLady it is unfortunate that Mike is a crazy God guy but to be such scum?!? Seriously? #nomask,2020-05-01 04:10:51,1256073573090725888,2879956695,chandran221,,,,['nomask'],0,0,en,Twitter for iPhone,,8.22127086194348e+17
"@GovMikeDeWine Wait. I thought the weirdo you put in charge of Ohio Health changed your plan.
#OpenOhio 
#NoVaccine 
#NoMask",2020-05-01 17:32:20,1256275274666323972,626964949,havalaudon,,,,"['OpenOhio', 'NoVaccine', 'NoMask']",0,2,en,Twitter for Android,1.25626714245598e+18,18820392.0
"#MAGA didn't notice

#Trump made it VERY clear it was UNDERSTOOD the guidelines are to wear a mask HE REFUSED!!

Funny how #Pence had Karen tell the press he didn't know.
Your leader mounted a #NoMask freedom #protest, and his right hand said eh I didn't know?

Distancing 101",2020-05-01 20:19:35,1256317364733218816,27874367,bleudawn7,,,,"['MAGA', 'Trump', 'Pence', 'NoMask', 'protest']",1,3,en,Twitter for Android,,
"#nomask #unconstitutional #1stAmendment wearing a mask in Illinois is not a law! @GovPritzker is in violation of our constitutional rights and i wont stand for it! 
👇👇👇👇 i gave fair warning to @GovPritzker to not violate my constitutional rights! #resignpritzker https://t.co/BznBQZRqtO",2020-05-01 21:45:05,1256338880997085185,3146694050,MAGAGIRL4LYF,,,,"['nomask', 'unconstitutional', '1stAmendment', 'resignpritzker']",58,105,en,Twitter for Android,,
RT @MAGAGIRL4LYF: #nomask #unconstitutional #1stAmendment wearing a mask in Illinois is not a law! @GovPritzker is in violation of our cons…,2020-05-01 23:05:56,1256359229121802240,896730140553744384,CollingswoodMan,,,,"['nomask', 'unconstitutional', '1stAmendment']",58,0,en,Twitter for iPad,,
RT @MAGAGIRL4LYF: #nomask #unconstitutional #1stAmendment wearing a mask in Illinois is not a law! @GovPritzker is in violation of our cons…,2020-05-01 23:11:21,1256360591410823168,1171530313517813760,Jade_Lyn_B,,,,"['nomask', 'unconstitutional', '1stAmendment']",58,0,en,Twitter for iPhone,,
Finally feels good to be out!! Especially near the water. Praise the Lord. #Galveston #MayDay2020 #TexasIsOpen #TheSpot #NoMask Glad I ain’t in New York or California. 🍺🍻🇺🇸🤙 https://t.co/OKbftpEoK2,2020-05-01 23:26:11,1256364322256756738,860935598525210624,Jona_is_Life90,,,,"['Galveston', 'MayDay2020', 'TexasIsOpen', 'TheSpot', 'NoMask']",0,1,en,Twitter for iPhone,,
RT @MAGAGIRL4LYF: #nomask #unconstitutional #1stAmendment wearing a mask in Illinois is not a law! @GovPritzker is in violation of our cons…,2020-05-01 23:35:41,1256366715551846403,948700168609726466,Mamjr22Mike,,,,"['nomask', 'unconstitutional', '1stAmendment']",58,0,en,Twitter for Android,,
@Lrihendry #nomask,2020-05-02 00:24:59,1256379121875079168,450265601,slowbumm,,,,['nomask'],0,0,und,Twitter for iPhone,1.256195709390467e+18,129235890.0
RT @MAGAGIRL4LYF: #nomask #unconstitutional #1stAmendment wearing a mask in Illinois is not a law! @GovPritzker is in violation of our cons…,2020-05-02 01:25:43,1256394403821891586,1118015166401191943,AgathaRex2,,,,"['nomask', 'unconstitutional', '1stAmendment']",58,0,en,Twitter for iPhone,,
RT @MAGAGIRL4LYF: #nomask #unconstitutional #1stAmendment wearing a mask in Illinois is not a law! @GovPritzker is in violation of our cons…,2020-05-02 01:37:24,1256397346130272257,726533301796765696,teacherfortrump,,,,"['nomask', 'unconstitutional', '1stAmendment']",58,0,en,Twitter for iPhone,,
