Tweet Text,Tweet Datetime,Tweet Id,User Id,User Name,Tweet Coordinates,Place Info,Country,Hashtags,Retweets,Favorites,Language,Source,Replied Tweet Id,Replied Tweet User Id
"In 1917, it was ""THE IMPERIALISTS"".
In 1933, it was ""THE JEWS"".
In 2020, it is ""THE VIRUS"".
Welcome to the New World Order END GAME they're LOSING follow 
@FluHoax
 for the latest scamdemic breakdowns
#FauciTheFraud #BillGatesEvil #NewWorldOrder #PlandemicHoax #NoMask #qanon https://t.co/bK5AVxPUrB",2020-11-01 00:06:47,1322691521913737216,1000736389246472193,TomsettRob,,,,"['FauciTheFraud', 'BillGatesEvil', 'NewWorldOrder', 'PlandemicHoax', 'NoMask', 'qanon']",0,0,en,Twitter Web App,,
@CBSNews @pollyhigley1 #NoMask #FireFauci https://t.co/7QTfXyiOJ6,2020-11-01 04:47:05,1322762059864559616,1275846802206601218,John83562286,,,,"['NoMask', 'FireFauci']",1,1,und,Twitter Web App,1.3227451768933048e+18,15012486.0
RT @John83562286: @CBSNews @pollyhigley1 #NoMask #FireFauci https://t.co/7QTfXyiOJ6,2020-11-01 04:47:51,1322762251300970497,1275846802206601218,John83562286,,,,"['NoMask', 'FireFauci']",1,0,und,Twitter Web App,,
"@LegaSalvini Ma non eravate per i #NoMask, #Negazionisti, #ApriamoTutto ?

Che fine hanno fatto gli #InfermieriNostriEroi?",2020-11-01 06:29:48,1322787909985013760,942662407171735552,ItaloLeone6,,,,"['NoMask', 'Negazionisti', 'ApriamoTutto', 'InfermieriNostriEroi']",0,0,it,Twitter Web App,1.3226636496437985e+18,13514762.0
"RT @AMOREGRANDEE: LA BUFALA DELLA MASCHERINA !
#NoMask",2020-11-01 07:41:50,1322806035657199616,358270300,tigrelt,,,,['NoMask'],8,0,it,Twitter for Android,,
"""Il popolo #nomask che nasconde l’ultradestra.
Da Praga a Berlino, passando per l’Italia fino oltre Atlantico, lo strano cocktail dei negazionisti del #COVID19. La leva del disagio sociale. L’ipotesi di una cabina di regia"".
Patria Indipendente https://t.co/myO89A1fMB #1novembre https://t.co/qEb4bHvvcJ",2020-11-01 08:24:58,1322816891761709056,1073573249970257925,ANPIBsCarmine,,,,"['nomask', 'COVID19', '1novembre']",4,4,it,Twitter Web App,,
#COVID19 #NoMask #nolockdown https://t.co/NXz0Ncqe7N,2020-11-01 08:28:43,1322817833810776064,1240941938800496641,levanten77,,,,"['COVID19', 'NoMask', 'nolockdown']",0,2,und,Twitter for Android,,
RT @MarcoNoel19: Il problema dei #NoMask è aver avuto dei padri No Condom.,2020-11-01 10:33:55,1322849344341614592,869873746559062017,AlvisiConci,,,,['NoMask'],1632,0,it,Twitter for Android,,
"@MayorofLondon Dr Mike Yeadon 30y+veteran research scientist &amp; former peer of Sir Patrick Vallance.Chief Scientific Officer of A&amp;R Research Unit of Pfizer,published over 40 original research articles etc.Calls out Vallance,explains the science:  #KBF #Plandemic #NoMask 
https://t.co/CWE1tuskI4",2020-11-01 11:27:57,1322862942728146945,330671747,HilltopHare,,,,"['KBF', 'Plandemic', 'NoMask']",0,0,en,Twitter Web App,1.3228296729971466e+18,14700117.0
#NoNewNormal #NoMask https://t.co/BeMhaMjbRZ,2020-11-01 11:49:52,1322868455700418563,1294811350053552129,Nypatriot1978,,,,"['NoNewNormal', 'NoMask']",0,0,und,Twitter for iPhone,,
Posted this a while bk but I think a few need to hear it again 🤣 #NoMoreLockdowns #KBF #NoMask #wewillnotcomply #BorisHasFailedTheUK https://t.co/JdXyn7Ywiv,2020-11-01 12:21:53,1322876514430554112,1243316460073684993,Jon1618h,,,,"['NoMoreLockdowns', 'KBF', 'NoMask', 'wewillnotcomply', 'BorisHasFailedTheUK']",12,29,en,Twitter for Android,,
RT @Jon1618h: Posted this a while bk but I think a few need to hear it again 🤣 #NoMoreLockdowns #KBF #NoMask #wewillnotcomply #BorisHasFail…,2020-11-01 13:08:13,1322888174788595716,600877611,dafhwales,,,,"['NoMoreLockdowns', 'KBF', 'NoMask', 'wewillnotcomply']",12,0,en,Twitter Web App,,
