Tweet Text,Tweet Datetime,Tweet Id,User Id,User Name,Tweet Coordinates,Place Info,Country,Hashtags,Retweets,Favorites,Language,Source,Replied Tweet Id,Replied Tweet User Id
RT @VujaBoskov: #NoMask è come allenatore che dice che portiere non serve perchè pallone non esiste,2020-10-09 13:56:00,1314565279826030592,714546271650975745,salvosalinsa,,,,['NoMask'],486,0,it,Twitter for iPhone,,
RT @4lessiapapa: comunque se non viene fatto qualcosa per fermare la manifestazione dei #NoMask avrei seriamente paura del luogo in cui viv…,2020-10-09 13:57:26,1314565637168140289,290511402,AleMancinelli8,,,,['NoMask'],12,0,it,Twitter for Android,,
"Volete vedere il livello di rincoglionimento e lobotomia a cui sono arrivati milioni di cittadini italiani?

Cliccate su --&gt; #NoMask e leggete i commenti di chi si scaglia contro chi critica l'uso della mascherina.

Attenzione: rischio misantropia altissimo.",2020-10-09 13:59:44,1314566217013829633,1033381154525794304,mat_brandi,,,,['NoMask'],88,294,it,Twitter Web App,,
Tutta questa bile verso i #NoMask ce l’ha principalmente chi in modo inconscio si inizia a sentire un coglione nel seguire un dogma infondato,2020-10-09 13:59:47,1314566230397849600,433717645,tiecolino,,,,['NoMask'],118,336,it,Twitter for iPhone,,
"RT @marrytrkk: Ok ok #NoMask  Non indossarlo Siate  liberi, ci vediamo nella sala di  terapia intensiva.

 Se tu non hai paura, mettiti la…",2020-10-09 13:59:48,1314566234013396995,1314563164793692162,Anna310780,,,,['NoMask'],17,0,it,Twitter Web App,,
RT @MarcoNoel19: Il problema dei #NoMask è aver avuto dei padri No Condom.,2020-10-09 14:00:15,1314566348522041345,1236284353627521024,lauhopes,,,,['NoMask'],1631,0,it,Twitter for Android,,
RT @MarcoNoel19: Il problema dei #NoMask è aver avuto dei padri No Condom.,2020-10-09 14:00:25,1314566391702392834,1405794786,BombieriGiorgia,,,,['NoMask'],1631,0,it,Twitter for Android,,
Domani i #NoMask che dicono che siamo in dittatura scenderanno in piazza a manifestare grazie al fatto che siamo in democrazia. Tutto ciò è magnifico,2020-10-09 14:01:12,1314566588432084993,567766266,naloxxone,,,,['NoMask'],0,1,it,Twitter for Android,,
RT @MarcoNoel19: Il problema dei #NoMask è aver avuto dei padri No Condom.,2020-10-09 14:01:16,1314566605628739585,1256550882751234049,alessan41569286,,,,['NoMask'],1631,0,it,Twitter for iPhone,,
RT @VujaBoskov: #NoMask è come allenatore che dice che portiere non serve perchè pallone non esiste,2020-10-09 14:01:18,1314566613581078528,1302152136948617217,kiaro_oscuro,,,,['NoMask'],486,0,it,Twitter for Android,,
"I vigili urbani iscritti all'Ugl a #Roma parteciperanno alla manifestazione contro le #mascherine. Così a dicembre possono rimettersi in malattia a Capodanno.

#NoMask",2020-10-09 14:01:46,1314566727976525826,627579169,pirata_21,,,,"['Roma', 'mascherine', 'NoMask']",51,267,it,Twitter for Android,,
#NoMask = NoBrain ❌🧠,2020-10-09 14:01:47,1314566732292513792,379091940,anIulian,,,,['NoMask'],0,0,en,Twitter for iPhone,,
"Al popoletto piace essere bastonato, così ha impressione che il padrone stia facendo qualcosa per lui. Anziché chiedersi perché, nonostante le misure sempre più repressive, il covid non si ferma, applaude a ogni inasprimento delle stesse. #nomask #covid1984 https://t.co/2bljFdpyb4",2020-10-09 14:01:49,1314566742761508865,417897223,Stegosauro,,,,"['nomask', 'covid1984']",0,1,it,Twitter Web App,,
"Davvero esistono manifestazioni #NoMask ? Appurato che siete coraggiosi e intelligenti e non pecore come noi. Avete mai pensato che la mascherina non difende voi, ma principalmente tutela gli altri. #IndossatelaConScrittoNoMask",2020-10-09 14:02:56,1314567024622870530,1144132365813526529,OglebyAakash,,,,"['NoMask', 'IndossatelaConScrittoNoMask']",0,0,it,Twitter Web App,,
