Tweet Text,Tweet Datetime,Tweet Id,User Id,User Name,Tweet Coordinates,Place Info,Country,Hashtags,Retweets,Favorites,Language,Source,Replied Tweet Id,Replied Tweet User Id
"RT @DavidPuente: Donald Trump ""eroe"" dei #NoMask, dei #novax e dei #negazionisti della #COVID19 presenti oggi in piazza a #Roma. https://t.…",2020-09-05 16:29:37,1302282747910729733,1128333732,Oxhine,,,,"['NoMask', 'novax', 'negazionisti', 'COVID19', 'Roma']",105,0,it,Twitter for Android,,
"Fossi positivo mi lancerei in mezzo alla folla starnutendo e sputazzando a destra e a manca, poi vediamo se continuano col #nomask. #negazionisti",2020-09-05 16:31:10,1302283139260260352,494429212,ettoreriga,,,,"['nomask', 'negazionisti']",0,1,it,Twitter for Android,,
Ma #Salvini avrà partecipato alla ridicola manifestazione di #NoMask a #Roma? 🤡 🤡 🤡 #COVIDー19 #vergogna,2020-09-05 16:31:29,1302283218947842051,109017091,monsieurgg,,,,"['Salvini', 'NoMask', 'Roma', 'COVIDー19', 'vergogna']",0,0,it,Twitter for iPhone,,
"RT @DavidPuente: Donald Trump ""eroe"" dei #NoMask, dei #novax e dei #negazionisti della #COVID19 presenti oggi in piazza a #Roma. https://t.…",2020-09-05 16:31:33,1302283236974960640,1279794106777157632,frincerotti,,,,"['NoMask', 'novax', 'negazionisti', 'COVID19', 'Roma']",105,0,it,Twitter for iPhone,,
"Buffoni fascisti vergognosi scimmioni. Ma perché è stata consentita questa puttanata con una pandemia in corso?
Questi idioti se si ammalano o fanno ammalare qualcuno...chi ne risponde?

#negazionisti #NoMask #5settembre #COVIDー19 https://t.co/fclcj9jc5Y",2020-09-05 16:34:25,1302283958009450498,5847962,ciropellegrino,,,,"['negazionisti', 'NoMask', '5settembre', 'COVIDー19']",18,92,it,Twitter for Android,,
"In Occidente abbondano le proteste #NoMask. Si tratta di un fenomeno odioso? Certo, ma le manifestazioni sono un problema relativo a fronte del rischio di una loro strumentalizzazione politica. In quelle piazze ci sono voti che fanno gola a tanti

#negazionisti #5settembre #COVID",2020-09-05 16:34:31,1302283983967916032,1229732967293038592,ImpopolareL,,,,"['NoMask', 'negazionisti', '5settembre', 'COVID']",0,1,it,Twitter for Android,,
"RT @BentivogliMarco: I politici e i personaggi dello spettacolo che hanno fomentato questa vergogna, hanno responsabilità enormi. 
#NoMask…",2020-09-05 16:36:27,1302284470087802886,3399075250,titzbiltz,,,,['NoMask'],519,0,it,Twitter for Android,,
"This was in reply to a question on facebook about face mask disposal
#NoMask https://t.co/ToYRzfZAIR",2020-09-05 16:37:33,1302284746601398275,167559919,bubbapower,,,,['NoMask'],2,6,en,Twitter Web App,,
"#NoMask a tutti voi che negate il #Covid mettete a rischio le vostre e le nostre vite. Noi non molliamo. Siamo liberi anche indossando una mascherina, mantenendo il distanziamento, lavandoci spesso le mani. Lo sapete che il virus circola ancora? Prudenza in attesa del vaccino. https://t.co/EPSHxzvWsU",2020-09-05 16:39:56,1302285346902888450,2546046132,sruotolo1,,,,"['NoMask', 'Covid']",138,817,it,Twitter for iPhone,,
"RT @BentivogliMarco: I politici e i personaggi dello spettacolo che hanno fomentato questa vergogna, hanno responsabilità enormi. 
#NoMask…",2020-09-05 16:41:09,1302285654169186304,1299394213,M5S_No_Grazie,,,,['NoMask'],519,0,it,Twitter for Android,,
"#IDIOCRAZIA_inPiazzaCOVID è la dimostrazione di come bisogna immediatamente rimediare all'impoverimento dell'istruzione scolastica per pura logica di economia iperliberista:

#negazionisti #NoMask https://t.co/L1TtAFIxr9",2020-09-05 16:42:15,1302285927612588039,1067000769617035264,MUSA_REvolution,,,,"['IDIOCRAZIA_inPiazzaCOVID', 'negazionisti', 'NoMask']",0,1,it,Twitter Web App,,
