Tweet Text,Tweet Datetime,Tweet Id,User Id,User Name,User Location,Tweet Coordinates,Place Info,Country,Hashtags,Retweets,Favorites,Language,Source,Replied Tweet Id,Replied Tweet User Id
"For the anti-maskers..
#Humanrights
#NoMasks 
Read this.. https://t.co/HmTocFDmG6",2020-08-01 00:13:36,1289353550426804225,546428144,TibsterAU,"New South Wales, Australia",,,,"['Humanrights', 'NoMasks']",0,1,en,Twitter for Android,,
"TRUMP TO SIGN AN EXECUTIVE ORDER TO MAKE MANDATORY MASK WEARING UNLAWFUL👍👍
https://t.co/D4XVeQlfFR #NoMask #OttawaMaskContest  #Trump2020Landslide #Ontario",2020-08-01 00:40:00,1289360194464432129,1243226559365943296,TheQFactor101,,,,,"['NoMask', 'OttawaMaskContest', 'Trump2020Landslide', 'Ontario']",2,2,en,Twitter Web App,,
"@gaudet_neil These people have no idea.😢
They are waiting on Dr. Death's aka @BillGates 🚫💉❌
They will get sick and blame the healthy people
who where smart enough to go #NoMask",2020-08-01 00:54:56,1289363952279752705,1074348436336472066,HappyBigGrin,#OurBeautifulFlatEarth,,,,['NoMask'],0,1,en,Twitter for Android,1.2893631426868306e+18,1.0366349039395635e+18
@GovTimWalz #NoMasks #Plandemic  https://t.co/I3RJnGJgxe,2020-08-01 00:58:07,1289364755451445248,759767087422251008,lightonearth111,,,,,"['NoMasks', 'Plandemic']",2,3,und,Twitter Web App,1.2893619563573043e+18,1.0646035409565655e+18
Not SURE why the MASK people ALWAYS have to Only SEE their world thru POLITICS? Every person is Labeled as either a R or a D or T Party  No matter What the Topic is: Education Health Pandemic. Do you SEE how DIVISIVE that is?? Politics has Nothing do with #NoMasks,2020-08-01 01:03:40,1289366151353442304,395032876,Legalator,AroundtheWorld,,,,['NoMasks'],0,1,en,Twitter for iPhone,,
"The CDC won't be handing out proper protocols but here's who is:

https://t.co/7iDACGmVcW

#BEAM #Covid19 #covid #coronavirus #stayhome #stayhomestaysafe #relockdown #lockdown #KeepYourChildHome #StayAtHome #NoTourism 

#NoMask or goggles brings suffering to u &amp; all ur loved ones",2020-08-01 01:12:46,1289368441858568192,887057851558002688,aevertrees,,,,,"['BEAM', 'Covid19', 'covid', 'coronavirus', 'stayhome', 'stayhomestaysafe', 'relockdown', 'lockdown', 'KeepYourChildHome', 'StayAtHome', 'NoTourism', 'NoMask']",1,0,en,Twitter Web App,,
#PatriotsFight #NoMask https://t.co/lQEWdzGbu4,2020-08-01 01:28:17,1289372345941909504,19834625,apharmtech,NC,,,,"['PatriotsFight', 'NoMask']",0,0,und,Twitter for iPhone,,
"How does @RepBrianFitz fail?

Let us count the ways:
Kids in Cages✅
Pro-Fascist support of White Nationalists✅
Voted 2x for the #GOPTaxScam &amp; 2x against #Impeachment✅
Is cool with #OpenCarry but not real #GunSafety✅
Never once held a real #TownHall✅

#NoMask #FitzpatrickFail https://t.co/c0lszhsdoZ",2020-08-01 01:30:03,1289372789678383107,1043682875424612352,FridaysWithFitz,"Pennsylvania, USA",,,,"['GOPTaxScam', 'Impeachment', 'OpenCarry', 'GunSafety', 'TownHall', 'NoMask', 'FitzpatrickFail']",16,21,en,Twitter Web App,,
#nomasks https://t.co/DT8Db10OKa,2020-08-01 01:34:48,1289373985067552768,974927186485436418,4moreTRUMPyears,"Oregon, USA",,,,['nomasks'],0,0,und,Twitter for Android,,
"#mask or #NoMASK 

Even IF he was wearing the mask properly, he WAS the one to get into that other persons personal space &amp; it was his fault for the larger male to mule kick him for intruding into his area... 

Simple defensive positioning https://t.co/4cllinkPyq",2020-08-01 01:41:16,1289375614563213312,1219891500,Stigma_Hurts,Broken Brain,,,,"['mask', 'NoMASK']",0,0,en,Twitter for iPhone,,
