Tweet Text,Tweet Datetime,Tweet Id,User Id,User Name,Tweet Coordinates,Place Info,Country,Hashtags,Retweets,Favorites,Language,Source,Replied Tweet Id,Replied Tweet User Id
"Planning to explore, creating mini adventures... The beauty of safe Sanur Beach for families.
⁣
⁣#sanurbeach #sanuristhebest #familyfriendlysanur #theilfamily #escapecovid-19 #nomask https://t.co/wx8GjPbBOf",2020-03-02 19:36:31,1234563254480986117,923512033114447872,KeysToBali,,,,"['sanurbeach', 'sanuristhebest', 'familyfriendlysanur', 'theilfamily', 'escapecovid', 'nomask']",0,0,en,Instagram,,
@FINALLEVEL I ain’t gon be wearin that shit into #Ralphs doe #FLTGRule14 #NoMask #ThatsWhatsUp,2020-03-08 16:31:21,1236690981296234498,1312003440,manishfresh333,,"Murrells Inlet, SC",US,"['Ralphs', 'FLTGRule14', 'NoMask', 'ThatsWhatsUp']",0,1,en,Twitter for iPhone,1.2366905470305894e+18,28420827.0
"How about giving him a punishment as a lesson to others buy up masks? I think it will work very well.
#NoMask #GoodExample #Punishment",2020-03-09 12:29:43,1236992561824161793,2794269905,want_talent,,,,"['NoMask', 'GoodExample', 'Punishment']",0,0,en,Twitter for iPhone,1.2369918086445998e+18,2794269905.0
Life is definitely different in the hood!! Anyone Care to dispute this? Media? 😹😹😹 #NoMask #NoGloves #NoShit https://t.co/n3woB3EPhc,2020-03-10 12:46:39,1237359209215225859,41225977,DannyJohnJules,,,,"['NoMask', 'NoGloves', 'NoShit']",5,32,en,Twitter for iPhone,,
RT @DannyJohnJules: Life is definitely different in the hood!! Anyone Care to dispute this? Media? 😹😹😹 #NoMask #NoGloves #NoShit https://t.…,2020-03-11 10:53:40,1237693165341224960,3060006024,ellablueandmsb,,,,"['NoMask', 'NoGloves', 'NoShit']",5,0,en,Twitter for iPhone,,
"@Aureliano_no_24 They also don’t listen to the #nomask BS, they have been trained for the past 9 months to depend on each other, not some #government especially #CCP",2020-03-11 23:33:31,1237884387443617794,1187132061817233408,meemeegu,,,,"['nomask', 'government', 'CCP']",0,6,en,Twitter for iPad,1.2377742652792218e+18,496562758.0
"@Comunardo #NoMes...
.................#NoMask !!!",2020-03-16 22:17:02,1239677080775938055,555481994,VilmaBerta17,,,,"['NoMes', 'NoMask']",0,0,und,Twitter for Android,1.2396483148549857e+18,52387663.0
Saw a woman holding her cardigan to her nose while shopping #nomask,2020-03-18 01:29:05,1240087796527685632,18037517,theminty,,,,['nomask'],1,1,en,Twitter for iPhone,,
#โควิท19 #nomask,2020-03-18 12:06:48,1240248286260236288,1239900149259747328,Wooththii,,,,"['โควิท19', 'nomask']",0,0,und,Twitter for Android,,
"Face masks and N95 respirators should not be used for general public from getting infected.

Save them for people who are sick or show symptoms or those in the health care industry TO AVOID EXPOSING OTHERS to the virus. 

Get a flu shot instead!!
#NoMask 
#YesFluShot",2020-03-20 00:48:53,1240802456587718659,1250306059,HeyThatsDave,,,,"['NoMask', 'YesFluShot']",0,0,en,Twitter for Android,,
15 DORKS DANCE TEAM! #uk #england #brittania #nomask #nogloves #nobrain #Covid_19 #coronavirus #CoronavirusPandemic https://t.co/yI9wEI4vyA,2020-03-21 10:19:41,1241308491500982273,37732791,SerdarS22,,,,"['uk', 'england', 'brittania', 'nomask', 'nogloves', 'nobrain', 'Covid_19', 'coronavirus', 'CoronavirusPandemic']",1,2,en,Twitter for iPhone,,
"ホシュイさんも「年金貰い得世代への反逆だ！」って流れから #NoMask #NoMask運動 みたいなものが流行るかもと考えてたのだ
それを職場で思いついて検索したら、NoMaskが無修正って意味らしくAVがいっぱい出てきてめっちゃ焦ったのだ https://t.co/p9Es76LXGz",2020-03-22 12:27:29,1241703042296074245,1133959777669660672,araisan_216,,,,"['NoMask', 'NoMask運動']",5,14,ja,Twitter Web App,,
"RT @araisan_216: ホシュイさんも「年金貰い得世代への反逆だ！」って流れから #NoMask #NoMask運動 みたいなものが流行るかもと考えてたのだ
それを職場で思いついて検索したら、NoMaskが無修正って意味らしくAVがいっぱい出てきてめっちゃ焦ったのだ",2020-03-22 16:07:57,1241758524301905921,244974926,pojihu,,,,"['NoMask', 'NoMask運動']",5,0,ja,Twitter for iPhone,,
RT @SerdarS22: 15 DORKS DANCE TEAM! #uk #england #brittania #nomask #nogloves #nobrain #Covid_19 #coronavirus #CoronavirusPandemic https://…,2020-03-23 06:16:40,1241972110408335360,1241931144544702465,Hanan99534998,,,,"['uk', 'england', 'brittania', 'nomask', 'nogloves', 'nobrain', 'Covid_19', 'coronavirus', 'CoronavirusPandemic']",1,0,en,Twitter for Android,,
RT @theminty: Saw a woman holding her cardigan to her nose while shopping #nomask,2020-03-23 06:17:27,1241972306701766656,1241931144544702465,Hanan99534998,,,,['nomask'],1,0,en,Twitter for Android,,
"Customers shouldn't be forced to wear masks - Nograles
https://t.co/hI69y916vR
#AbogadoNews    
#Nomask
@karlo_nograles https://t.co/uXKrS1FQ9s",2020-03-24 01:41:24,1242265223060324352,822343765926871040,Abogado_PH,,,,"['AbogadoNews', 'Nomask']",0,0,en,TweetDeck,,
"@DanielAndrewsMP @VictoriaPolice it’s very challenging times where is protection for front line first  respondents from #COVID-19 in Latrobe Valley #nogloves, #nomasks, #nohandsanitiser how are they being protected to protect us....????? East Gippsland Bushfires #nomask again?",2020-03-24 21:55:03,1242570648087457793,3012280147,tangomertle,,"Traralgon, Victoria",AU,"['COVID', 'nogloves', 'nomasks', 'nohandsanitiser', 'nomask']",0,0,en,Twitter for iPhone,,228535666.0
"So no masks available in town, decided to make a reversable mask for hubby. #nomask #SouthAfricaLockdown #CoronavirusLockdown https://t.co/mzqFtH31kW",2020-03-25 20:23:44,1242910056187858944,491047981,StadlerKaren,,,,"['nomask', 'SouthAfricaLockdown', 'CoronavirusLockdown']",0,0,en,Twitter for Android,,
#tbt to last month #february2020  #nomask apologize for what you said about 2019 #boom https://t.co/cZoP6a5eMr,2020-03-26 17:20:54,1243226432957902848,116555674,DaveScott10,,,,"['tbt', 'february2020', 'nomask', 'boom']",0,0,en,Instagram,,
Don’t get caught wit your pants down that season still coming. Boys better still be preparing some kinda way!! Better believe I’m still getting my 1 daily!! #JackBoy🤐 #NoMask🤫,2020-03-26 22:02:09,1243297211770982400,242100723,ReemBoi25,,,,"['JackBoy', 'NoMask']",15,177,en,Tweetbot for iΟS,,
"I'll take my chances 🙄 #NoMask
Leave the masks for those that need them, medical professionals on the front lines.
Don't touch your face or lick doorknobs https://t.co/lhkApT2SH6",2020-03-28 16:25:27,1243937253153542144,788552327846322176,TomStark913,,,,['NoMask'],0,0,en,Twitter for Android,,
@legendracer22 @DeanObeidallah @realDonaldTrump 🦠🦠🦠🦠#landslide to the #graveyard 💀💀💀 #TrumpPandemic2020 Hopefully you live long enough to #vote. How’s that #economy #working for #you? Stop tweeting and go get in the #frontline with #nomask 🗣🦠🦠🦠,2020-03-28 18:14:44,1243964757561966592,1066128286194049025,RAWneighbors,,,,"['landslide', 'graveyard', 'TrumpPandemic2020', 'vote', 'economy', 'working', 'you', 'frontline', 'nomask']",0,0,en,Twitter for iPhone,1.2439557538046935e+18,423134678.0
"@xmoons Yeah! 

#nomask",2020-03-31 20:40:26,1245088586497765376,177236624,MrBisonopolis,,,,['nomask'],1,0,en,Tweetbot for iΟS,1.2450871919461376e+18,85247390.0
"RT @MrBisonopolis: @xmoons Yeah! 

#nomask",2020-03-31 20:46:22,1245090080928280577,85247390,xmoons,,,,['nomask'],1,0,en,Fenix 2,,
