Tweet Text,Tweet Datetime,Tweet Id,User Id,User Name,User Location,Tweet Coordinates,Place Info,Country,Hashtags,Retweets,Favorites,Language,Source,Replied Tweet Id,Replied Tweet User Id
"@GovMikeDeWine #OpenOhio.
Period.
#NoMasks 
#NoVaccine 
Ohio-report @GovMikeHuckabee and @DrAmyActon to @TheJusticeDept.",2020-05-01 01:41:25,1256035969930756098,626964949,havalaudon,Ohio,,,,"['OpenOhio', 'NoMasks', 'NoVaccine']",1,4,en,Twitter Web App,1.2559913185908777e+18,18820392.0
#ConstitutionOverCoronavirus #socialism #facism #LiberateAmerica #NoMasks #socialistDistancing https://t.co/VWauQj0mis,2020-05-01 03:30:18,1256063370039607296,2167062020,LORISAXON,"Washington, DC",,,,"['ConstitutionOverCoronavirus', 'socialism', 'facism', 'LiberateAmerica', 'NoMasks', 'socialistDistancing']",0,1,und,Twitter for iPhone,,
@SecondLady it is unfortunate that Mike is a crazy God guy but to be such scum?!? Seriously? #nomask,2020-05-01 04:10:51,1256073573090725888,2879956695,chandran221,"Colorado, USA",,,,['nomask'],0,0,en,Twitter for iPhone,,8.22127086194348e+17
"@GovMikeDeWine Wait. I thought the weirdo you put in charge of Ohio Health changed your plan.
#OpenOhio 
#NoVaccine 
#NoMask",2020-05-01 17:32:20,1256275274666323972,626964949,havalaudon,Ohio,,,,"['OpenOhio', 'NoVaccine', 'NoMask']",0,2,en,Twitter for Android,1.25626714245598e+18,18820392.0
"#Detroit looked like this just seven weeks ago, when Detroit City Distillery's promo March 10 on Facebook was OK
#NoMasks #Throwback #nostalgia #nostalgic https://t.co/XWaFqAIvuQ",2020-05-01 17:33:00,1256275441591046144,419735656,DeadlineDetroit,"Detroit, MI",,,,"['Detroit', 'NoMasks', 'Throwback', 'nostalgia', 'nostalgic']",0,0,en,TweetDeck,,
"@IngrahamAngle yet, the jokers at the CDC continue this farce to keep the fear and panic going. @realDonaldTrump #NoMasks #MasksDontWork",2020-05-01 17:44:39,1256278372176596992,230301712,bballisgr8,,,,,"['NoMasks', 'MasksDontWork']",0,0,en,Twitter Web App,1.2562071943134085e+18,50769180.0
"RT @Ryan0neal: We’re not here to take part, we’re here to take over #NoMasks #NoViolence #WWG1WGA #Qanon #MAGA #WeThePeople #WhoIsQ #WeAreQ…",2020-05-01 18:21:41,1256287694855929856,875011234910814208,FirebirdHank,"In ur head rent free, KEKISTAN",,,,"['NoMasks', 'NoViolence', 'WWG1WGA', 'Qanon', 'MAGA', 'WeThePeople', 'WhoIsQ', 'WeAreQ']",1088,0,en,Twitter for Android,,
"@MassGovernor So, to be clear, you closed businesses where social distancing isn’t possible already. Now you want people to wear masks where we’re already social distancing?? Unconstitutional and illegal. No way.
#NoMasks",2020-05-01 18:33:03,1256290555354583044,826069766041374720,TRUMPMOMENTS411,USA,,,,['NoMasks'],1,2,en,Twitter for iPhone,1.2562779473187062e+18,18023868.0
"Dear #corporations of #America, you all deserve to go #bankrupt if you do not #protect the God given rights of your #workers and #patrons. That means #nomasks",2020-05-01 18:59:54,1256297312382525442,4837456924,LivingWaterWay,,,,,"['corporations', 'America', 'bankrupt', 'protect', 'workers', 'patrons', 'nomasks']",0,0,en,Twitter Web App,,
"Hope you all had a beautiful friday💗
#FridayFeeling #FridayFun @LiveJasmin #mirror #nomakeup #NoMasks #Longhairdontcare #FridayVibes #beautifulday https://t.co/9B2hAgVLU3",2020-05-01 20:03:23,1256313286712156160,1052898441305751553,AdaniaWills,United States,,,,"['FridayFeeling', 'FridayFun', 'mirror', 'nomakeup', 'NoMasks', 'Longhairdontcare', 'FridayVibes', 'beautifulday']",1,39,en,Twitter for iPhone,,
"#MAGA didn't notice

#Trump made it VERY clear it was UNDERSTOOD the guidelines are to wear a mask HE REFUSED!!

Funny how #Pence had Karen tell the press he didn't know.
Your leader mounted a #NoMask freedom #protest, and his right hand said eh I didn't know?

Distancing 101",2020-05-01 20:19:35,1256317364733218816,27874367,bleudawn7,austin tx,,,,"['MAGA', 'Trump', 'Pence', 'NoMask', 'protest']",1,3,en,Twitter for Android,,
"RT @Ryan0neal: We’re not here to take part, we’re here to take over #NoMasks #NoViolence #WWG1WGA #Qanon #MAGA #WeThePeople #WhoIsQ #WeAreQ…",2020-05-01 20:45:37,1256323915191693312,239609623,dukilleronurlft,"Denver, CO.",,,,"['NoMasks', 'NoViolence', 'WWG1WGA', 'Qanon', 'MAGA', 'WeThePeople', 'WhoIsQ', 'WeAreQ']",1088,0,en,Twitter for iPhone,,
"#nomask #unconstitutional #1stAmendment wearing a mask in Illinois is not a law! @GovPritzker is in violation of our constitutional rights and i wont stand for it! 
👇👇👇👇 i gave fair warning to @GovPritzker to not violate my constitutional rights! #resignpritzker https://t.co/BznBQZRqtO",2020-05-01 21:45:05,1256338880997085185,3146694050,MAGAGIRL4LYF,"nunya business, creepers🤪",,,,"['nomask', 'unconstitutional', '1stAmendment', 'resignpritzker']",58,105,en,Twitter for Android,,
Time to #EndTheShutdown and fully open our country. And #nomasks as they don’t work and they are another sign of oppression !,2020-05-01 22:55:32,1256356610806616064,1239193125849108480,Maggie53211,United States,,,,"['EndTheShutdown', 'nomasks']",3,3,en,Twitter for iPhone,,
RT @Renee53211: Time to #EndTheShutdown and fully open our country. And #nomasks as they don’t work and they are another sign of oppression…,2020-05-01 23:04:23,1256358835675152386,782327800099377152,Rhosalee_H,NJ,,,,"['EndTheShutdown', 'nomasks']",3,0,en,Twitter for iPhone,,
RT @MAGAGIRL4LYF: #nomask #unconstitutional #1stAmendment wearing a mask in Illinois is not a law! @GovPritzker is in violation of our cons…,2020-05-01 23:05:56,1256359229121802240,896730140553744384,CollingswoodMan,"Georgia, USA",,,,"['nomask', 'unconstitutional', '1stAmendment']",58,0,en,Twitter for iPad,,
RT @MAGAGIRL4LYF: #nomask #unconstitutional #1stAmendment wearing a mask in Illinois is not a law! @GovPritzker is in violation of our cons…,2020-05-01 23:11:21,1256360591410823168,1171530313517813760,Jade_Lyn_B,,,,,"['nomask', 'unconstitutional', '1stAmendment']",58,0,en,Twitter for iPhone,,
Finally feels good to be out!! Especially near the water. Praise the Lord. #Galveston #MayDay2020 #TexasIsOpen #TheSpot #NoMask Glad I ain’t in New York or California. 🍺🍻🇺🇸🤙 https://t.co/OKbftpEoK2,2020-05-01 23:26:11,1256364322256756738,860935598525210624,Jona_is_Life90,"Houston, TX",,,,"['Galveston', 'MayDay2020', 'TexasIsOpen', 'TheSpot', 'NoMask']",0,1,en,Twitter for iPhone,,
RT @MAGAGIRL4LYF: #nomask #unconstitutional #1stAmendment wearing a mask in Illinois is not a law! @GovPritzker is in violation of our cons…,2020-05-01 23:35:41,1256366715551846403,948700168609726466,Mamjr22Mike,"Tampa, FL",,,,"['nomask', 'unconstitutional', '1stAmendment']",58,0,en,Twitter for Android,,
@Lrihendry #nomask,2020-05-02 00:24:59,1256379121875079168,450265601,slowbumm,,,,,['nomask'],0,0,und,Twitter for iPhone,1.256195709390467e+18,129235890.0
RT @MAGAGIRL4LYF: #nomask #unconstitutional #1stAmendment wearing a mask in Illinois is not a law! @GovPritzker is in violation of our cons…,2020-05-02 01:25:43,1256394403821891586,1118015166401191943,AgathaRex2,,,,,"['nomask', 'unconstitutional', '1stAmendment']",58,0,en,Twitter for iPhone,,
RT @MAGAGIRL4LYF: #nomask #unconstitutional #1stAmendment wearing a mask in Illinois is not a law! @GovPritzker is in violation of our cons…,2020-05-02 01:37:24,1256397346130272257,726533301796765696,teacherfortrump,United States,,,,"['nomask', 'unconstitutional', '1stAmendment']",58,0,en,Twitter for iPhone,,
"@stumptownlunch I watched at least 8 people walk out of Safeway tonight with #NoMasks - seriously. #Portland has decided to be lax, too. #sad - #mayors need to enforce things since people won't listen... @tedwheeler Everywhere is laxing.",2020-05-02 01:41:20,1256398333876137985,14799010,bricktracy,Portlandia,,,,"['NoMasks', 'Portland', 'sad', 'mayors']",0,1,en,Twitter Web App,1.2560202763132928e+18,12007212.0
"RT @Ryan0neal: We’re not here to take part, we’re here to take over #NoMasks #NoViolence #WWG1WGA #Qanon #MAGA #WeThePeople #WhoIsQ #WeAreQ…",2020-05-02 02:03:15,1256403851076395008,74729561,Whee_ThisIsFun,United States,,,,"['NoMasks', 'NoViolence', 'WWG1WGA', 'Qanon', 'MAGA', 'WeThePeople', 'WhoIsQ', 'WeAreQ']",1088,0,en,Twitter Web App,,
RT @MAGAGIRL4LYF: #nomask #unconstitutional #1stAmendment wearing a mask in Illinois is not a law! @GovPritzker is in violation of our cons…,2020-05-02 02:14:16,1256406623926595585,26848626,cottonpony,"RT🚫Endorsement, List= Block",,,,"['nomask', 'unconstitutional', '1stAmendment']",58,0,en,Twitter for iPhone,,
RT @MAGAGIRL4LYF: #nomask #unconstitutional #1stAmendment wearing a mask in Illinois is not a law! @GovPritzker is in violation of our cons…,2020-05-02 03:40:46,1256428392775180288,2540578320,TheBurgundyCat,United States of America,,,,"['nomask', 'unconstitutional', '1stAmendment']",58,0,en,Twitter for iPhone,,
RT @MAGAGIRL4LYF: #nomask #unconstitutional #1stAmendment wearing a mask in Illinois is not a law! @GovPritzker is in violation of our cons…,2020-05-02 05:50:33,1256461052964831232,28109931,GerarddeMarigny,"Henderson, NV",,,,"['nomask', 'unconstitutional', '1stAmendment']",58,0,en,Twitter for Android,,
"WHO says Sweden's Corona strategy could be ""a future model"" post lockdowns -
It will be always too late when #who will provide clear directions (#mask vs #nomask, #lockdown vs #swedish model, #symptoms vs #symptomsless,...) ⁦@WHO⁩  https://t.co/ancmZlQuQs",2020-05-02 12:42:33,1256564734502920193,1055538098849890306,fastenseat,"Bugliano, Assurdistan del Nord",,,,"['who', 'mask', 'nomask', 'lockdown', 'swedish', 'symptoms', 'symptomsless']",0,0,en,Twitter for iPhone,,
"I see people all the time with dirty Masks, dirty scarfs etc, Does anyone ever ?? what wearing a dirty face covering will do, you breathe air to the germs &amp; then breathe them right back into your own lungs  Use common sense, no masks, open up the USA @realDonaldTrump #NoMask",2020-05-02 16:00:55,1256614655721525248,1702969784,j20godschild,Dallas Texas,,,,['NoMask'],3,2,en,Twitter Web App,,
"As cases COVID-19 continue to dwindle the demand that we wear masks everywhere in public is increasing everyday. Why? #resist #NoMasks
https://t.co/lHkJ7WLPiH",2020-05-02 16:01:29,1256614799032684544,1152608898186121216,conserv8320,,,,,"['resist', 'NoMasks']",1,1,en,Twitter for iPhone,,
@WFSBnews @GovNedLamont #NOMASKS = #CTVLiveTweets Not #FlatteningTheCurve Isn't it supposed to be mandatory!? #NOCONSEQUENCES = not caring?! https://t.co/RlF9R4nbVc,2020-05-02 17:17:36,1256633956025450497,259827820,BellaSpirito777,Connecticut,,,,"['NOMASKS', 'CTVLiveTweets', 'FlatteningTheCurve', 'NOCONSEQUENCES']",0,0,en,Twitter for Android,,29008249.0
"@EyesOnQ “If you can line up a department stores(Walmart, target, Lowe’s, etc) you can line up to vote” and I ain’t voting democrat. #trump2020 #hanghillary #whereshillary #dumpthedeepstate #nomask",2020-05-02 17:25:09,1256635853868281856,817386884045438976,crzytwnbtterfly,"Texas, USA",,,,"['trump2020', 'hanghillary', 'whereshillary', 'dumpthedeepstate', 'nomask']",18,89,en,Twitter for iPhone,1.2566270606442086e+18,829717519.0
"@trsharish Sir, it's an immense pleasure to see u all at #ranganayaka Sagar njoying the water flow n felt proud aswell such a successful project. meanwhile I can't see any #SocialDistancing and more over old-age people with #NoMasks.
@trspartyonline",2020-05-02 18:10:17,1256647212139974658,1249249612931579904,IhtawsM,"Hyderabad, India",,,,"['ranganayaka', 'SocialDistancing', 'NoMasks']",0,0,en,Twitter for Android,1.2566339521958953e+18,192942692.0
"@FOXNashville Meanwhile I understand that Franklin is hopping with freedom.  Headed that way to enjoy...without a mask, don’t own one! @JohnCooper4Nash enjoy your day and keep testing into oblivion to get the desired numbers to keep our county under your control and shut down.  #NOMASK",2020-05-02 18:11:41,1256647564046327809,816455035693527040,moorblu,Nashville,,,,['NOMASK'],0,2,en,Twitter for iPhone,1.2565939455236178e+18,34280715.0
I am with you #NoMask https://t.co/QPhBLBvtMb,2020-05-02 18:23:37,1256650566312304644,844343186738720769,ldBredeman,"Manley Hot Springs, Alaska",,,,['NoMask'],0,0,en,Twitter for iPhone,,
#nomask https://t.co/9XB4YTT27A,2020-05-02 18:37:31,1256654065641103361,334914087,ciscowski,Austin 🔸Chappell Hill Tx ,,,,['nomask'],0,1,und,Twitter for iPad,,
"@GatorWilson76 @Rjv400Segal @GodFamilyJesus If you are not sick? 
#OPENAMERICANOW #NoMask 

If you are sick?
#StayHome #WhereAMaskToGoOut 

@realDonaldTrump @godisgood1961 
#VoteRedToSaveAmerica2020 #KAG
#VoteRedToOpenAmericaForever https://t.co/O5qCZPQRCc",2020-05-02 19:09:31,1256662118675464193,1608622200,OneLastRun54,"Warr Acres, OK (Heart❤️Land)",,"Warr Acres, OK",US,"['OPENAMERICANOW', 'NoMask', 'StayHome', 'WhereAMaskToGoOut', 'VoteRedToSaveAmerica2020', 'KAG', 'VoteRedToOpenAmericaForever']",0,2,en,Twitter for iPhone,1.2566338903803576e+18,9.40778463459496e+17
