Tweet Text,Tweet Datetime,Tweet Id,User Id,User Name,User Location,Tweet Coordinates,Place Info,Country,Hashtags,Retweets,Favorites,Language,Source,Replied Tweet Id,Replied Tweet User Id
@GregAbbott_TX @Scotus #NoMasks #EndCovidRestrictions https://t.co/epVHQuRv96,2020-10-01 00:00:23,1311455883717758978,1249698563208208384,DanteyFrida,,,,,"['NoMasks', 'EndCovidRestrictions']",0,0,und,Twitter for iPhone,1.3114364162289582e+18,90651198.0
#NoNewNormal #EndLockdownsNow  Have your say every Saturday at Dundas Square. Tell @JohnTory and @fordnation you have had enough. Don't forget  when election time comes around! @HugsOverMasks @thelinecanada #NoMasks https://t.co/GD0xishqzS,2020-10-01 00:09:52,1311458274034753541,324637726,HolisticZombie,"Toronto, Canada ",,,,"['NoNewNormal', 'EndLockdownsNow', 'NoMasks']",0,0,en,Twitter Web App,,
Depressing day - my colleagues comparing their homes risk level on their app. One person was high even though the district has 8 cases! #TrackAndTrace #nhsTrackandTrace #KBF #wakeup #scamdemic2020 #endlockdown #NoMasks,2020-10-01 00:17:38,1311460228605542400,1288812730841956357,whatwouldido1,,,,,"['TrackAndTrace', 'nhsTrackandTrace', 'KBF', 'wakeup', 'scamdemic2020', 'endlockdown', 'NoMasks']",0,0,en,Twitter for iPhone,,
I love it. Barr: #NoMask 💪👊🔥 https://t.co/CJvfQdQwVP,2020-10-01 00:25:56,1311462315376566272,1264287675462250496,BrownTotal,USA ,,,,['NoMask'],2,2,en,Twitter for iPhone,,
"#NoMasks 
Supermarkten weigeren klanten zonder mondkapjes niet https://t.co/q7go79og4c via @NUnl",2020-10-01 00:26:21,1311462421165469698,1242584614260158464,IkNet,,,,,['NoMasks'],10,26,nl,Twitter Web App,,
RT @BrownTotal: I love it. Barr: #NoMask 💪👊🔥,2020-10-01 00:38:24,1311465453852655616,1286370895003435008,femalepatriot2,,,,,['NoMask'],2,0,en,Twitter for iPhone,,
"@Freedom1796YA Bull shit. When people wake up, and they are gradually, the shit show is over. #NoMasks",2020-10-01 00:53:09,1311469164125655040,1289290710487904256,BAdams655818,"Ohio, USA",,,,['NoMasks'],0,1,en,Twitter for iPhone,1.3113561980258632e+18,1.2419005744020562e+18
#MasksOffAmerica #NoMasks #MaskOff #stop the stupidity https://t.co/nFMGmdDEZr,2020-10-01 00:53:33,1311469266466676738,44536095,usopendean,"Palm Harbor, Florida",,,,"['MasksOffAmerica', 'NoMasks', 'MaskOff', 'stop']",0,0,en,Twitter for iPhone,,
"HOW ABOUT #CDC MANDATING PEOPLE TO
#WashYourHands 
INSTEAD OF WEARING
#Masks ?
SO MANY PEOPLE DON'T 
#WashYourHands 
AFTER USING PUBLIC RESTROOMS 🤮🤮🤮🤮
#NoMasks 
#NoMasks
#NoMasks https://t.co/tFs1Rteg9P",2020-10-01 01:21:01,1311476176020484098,3421316315,land_terri,"Kansas, USA",,,,"['CDC', 'WashYourHands', 'Masks', 'WashYourHands', 'NoMasks', 'NoMasks', 'NoMasks']",43,28,en,Twitter for Android,,
"#LeeCounty #Florida 
Face mask lawsuit: Families to sue Lee County schools over mask policy. 

#COVID19 #NoMasks  https://t.co/jr3KrF0aUj",2020-10-01 01:24:07,1311476959621382146,1245389139303960577,BigLoggerBP,"Florida, USA",,,,"['LeeCounty', 'Florida', 'COVID19', 'NoMasks']",46,114,en,Twitter for iPhone,,
