Tweet Text,Tweet Datetime,Tweet Id,User Id,User Name,User Location,Tweet Coordinates,Place Info,Country,Hashtags,Retweets,Favorites,Language,Source,Replied Tweet Id,Replied Tweet User Id
@Wokeman8 #NoMasks 👇🏻 only the Sheeple wear them! https://t.co/S7TPtOZael,2020-09-05 12:26:55,1302221674310512640,2397132581,LadyMercia,ENGLAND 🏴󠁧󠁢󠁥󠁮󠁧󠁿 GB 🇬🇧,,,,['NoMasks'],3,16,en,Twitter for iPad,1.302150577636307e+18,1.2206700255452406e+18
"“What happens the next few months really depends on what we do as a society the next few weeks.” #coronavirus #NoMask
https://t.co/6bhglsJEIO",2020-09-05 12:32:13,1302223005913944064,1489911144,stefmonzo,"London, England",,,,"['coronavirus', 'NoMask']",0,0,en,Twitter for Android,,
@Mov5Stelle @luigidimaio Guarda che ce li avevi portati tu al Governo.. #NoMask #Roma #negazionisti #Covidioti #COVIDIOTS #IDIOCRAZIA_inPiazzaCOVID #facciamorete,2020-09-05 12:32:31,1302223081868603392,863773182,GiampieroBiglia,Torino,,,,"['NoMask', 'Roma', 'negazionisti', 'Covidioti', 'COVIDIOTS', 'IDIOCRAZIA_inPiazzaCOVID', 'facciamorete']",0,1,it,Twitter for iPhone,1.301936060415357e+18,289400495.0
"Lungi da me definirmi di sinistra, ma perché a fomentare gli idioti c'è sempre la #destra? 
https://t.co/9DCM4zXiIh
#NoMask #Covidioti #negazionisti #5settembre #Roma #novax",2020-09-05 12:32:49,1302223158624350208,750300882265309184,SteGiolo,Italia,,,,"['destra', 'NoMask', 'Covidioti', 'negazionisti', '5settembre', 'Roma', 'novax']",0,0,it,Twitter for Android,,
RT @PBerizzi: Il 31 agosto su @repubblica ho scritto che oggi i fascisti avrebbero portato in piazza a Roma i #negazionisti #NoMask. Dopo q…,2020-09-05 12:37:34,1302224351878668292,4919837110,castell32082033,,,,,"['negazionisti', 'NoMask']",337,0,it,Twitter for Android,,
"RT @Cartabellotta: Desideri proibiti del #5settembre.
Un misuratore di carica virale di piazza alla manifestazione di #Roma #nomask #novax…",2020-09-05 12:38:42,1302224636684513282,1961112673,Matti8Mattina,"Bergamo, Lombardia",,,,"['5settembre', 'Roma', 'nomask', 'novax']",132,0,it,Twitter for Android,,
"On September 15tg No more masks. #MasksDontWork 
#NoMask https://t.co/hhyQ7e7Hck",2020-09-05 12:38:53,1302224684692508672,3234997060,Snowflake202135,Planet Earth ,,,,"['MasksDontWork', 'NoMask']",29,57,en,Twitter for Android,,
RT @PBerizzi: Il 31 agosto su @repubblica ho scritto che oggi i fascisti avrebbero portato in piazza a Roma i #negazionisti #NoMask. Dopo q…,2020-09-05 12:39:03,1302224724743925760,2416492224,MaxCoen33,UE and U.s.,,,,"['negazionisti', 'NoMask']",337,0,it,Twitter for Android,,
HELL NO... WHO!! ✊#Adelaideprotest #Australia #oz #nonewnormal #endthelockdown #nomasks #backtonormal,2020-09-05 12:39:49,1302224917291769856,169720075,Matteo_Moss,Canada,,,,"['Adelaideprotest', 'Australia', 'oz', 'nonewnormal', 'endthelockdown', 'nomasks', 'backtonormal']",0,1,en,Twitter for Android,,
"@giuliaselvaggi2 @PoliticaPerJedi @QuesturaDiRoma Troppi se. Dobbiamo imparare dalla storia. Rastrellamento, processo per direttissima e carcere a vita.
La prossima volta ci pensano due volte.
#Covidioti #NoMask #5settembre #negazionisti",2020-09-05 12:42:06,1302225494851694592,1221667819,blaineilmono,,,,,"['Covidioti', 'NoMask', '5settembre', 'negazionisti']",0,0,it,Twitter for Android,1.3022239455387034e+18,2161467119.0
@Cyberbeagle1 @jackbuck123 @mattforde 😂😂😂😂 so you will wear a mask but when there’s a vaccine you won’t. But surely wearing a mask will still prevent you passing on the virus to someone who may not have been vaccinated. Oh well I wish you well. #ENDLOCKDOWNNOW #NoMasks 😀👍🇬🇧,2020-09-05 12:42:55,1302225699525341184,1320480823,ThomasAcworth,,,,,"['ENDLOCKDOWNNOW', 'NoMasks']",0,0,en,Twitter for iPhone,1.3022121168254198e+18,501120488.0
La manifestazione di oggi dei #nomask è una vergogna. Sono morte tante persone e stiamo affrontando una drammatica crisi economica. La politica tutta stigmatizzi quella piazza perché è in gioco il nostro futuro. Nessuno pensi di poter dialogare con chi mette in pericolo Paese.,2020-09-05 12:51:15,1302227795343540224,1160083688,vannaio,Reggio Emilia,,,,['nomask'],13,64,it,Twitter for iPhone,,
"Non a caso la manifestazione #NoMask di oggi a #Roma è organizzata dall'estrema destra.
Il fascismo si basa sull'opportunismo di pochi (i vostri leader) e sull'ignoranza di molti (voi imbecilli che vi fate abbindolare) 

#IDIOCRAZIA_inPiazzaCOVID https://t.co/spgwOqgS0u",2020-09-05 12:52:23,1302228080531038211,51047062,Ciufy,,,,,"['NoMask', 'Roma', 'IDIOCRAZIA_inPiazzaCOVID']",19,64,it,Twitter Web App,,
"La manifestazione dei #NoMask e dei #NoVax di oggi a Roma consegna al Paese un messaggio pericoloso che va rigettato con decisione. Su temi così delicati non può esistere alcun stupido e irresponsabile negazionismo. All’Italia non servono pagliacciate come questa.

#negazionisti",2020-09-05 12:52:24,1302228085891362816,420332560,msgelmini,,,,,"['NoMask', 'NoVax', 'negazionisti']",16,151,it,Twitter for iPhone,,
#CoronaTimo #CoronaFarsa #Genocidio #RebroteTimo #NoAlConfinamiento #NoAlNuevoOrdenMundial #NoAlBozal #NoALaMascarilla #NoALaVacuna #PolíticosAPrisión #SanitariosAsesinos #PeriodistasCobardes #Covid_19 #COVID19 #CovidHoax #NoMask #NoVaccine #BillGatesIsAPsychopath 🤪😈💉☠️🤑🤮🤬 https://t.co/CinVXC6m9X,2020-09-05 12:59:22,1302229839701778432,140795123,AGG7,"Madrid, Spain",,,,"['CoronaTimo', 'CoronaFarsa', 'Genocidio', 'RebroteTimo', 'NoAlConfinamiento', 'NoAlNuevoOrdenMundial', 'NoAlBozal', 'NoALaMascarilla', 'NoALaVacuna', 'PolíticosAPrisión', 'SanitariosAsesinos', 'PeriodistasCobardes', 'Covid_19', 'COVID19', 'CovidHoax', 'NoMask', 'NoVaccine', 'BillGatesIsAPsychopath']",0,0,und,Twitter for iPhone,,
"RT @Ciufy: Non a caso la manifestazione #NoMask di oggi a #Roma è organizzata dall'estrema destra.
Il fascismo si basa sull'opportunismo di…",2020-09-05 12:59:32,1302229880801832963,1961112673,Matti8Mattina,"Bergamo, Lombardia",,,,"['NoMask', 'Roma']",19,0,it,Twitter for Android,,
"RT @TruthsayerOdet1: All human beings have to be vaccinated according to the #UnitedNations 

#agenda21 #nomasks 

#covidscam #sheffield #l…",2020-09-05 13:02:28,1302230620697960448,1221062374314192898,TruthsayerOdet1,Manchester London New York,,,,"['UnitedNations', 'agenda21', 'nomasks', 'covidscam', 'sheffield']",9,0,en,Twitter Web App,,
RT @BristolBeing: #NoMasks https://t.co/zKEt7wb1UI,2020-09-05 13:03:55,1302230985606680576,1117420604439789568,DaveNicholas555,"Wirral, UK",,,,['NoMasks'],32,0,und,Twitter Web App,,
"RT @Cartabellotta: Desideri proibiti del #5settembre.
Un misuratore di carica virale di piazza alla manifestazione di #Roma #nomask #novax…",2020-09-05 13:05:25,1302231361823084544,1477219380,CSclerato,"Torino, Piemonte",,,,"['5settembre', 'Roma', 'nomask', 'novax']",132,0,it,Twitter for iPhone,,
RT @vannaio: La manifestazione di oggi dei #nomask è una vergogna. Sono morte tante persone e stiamo affrontando una drammatica crisi econo…,2020-09-05 13:05:40,1302231425173860353,13294452,pdnetwork,,,,,['nomask'],13,0,it,Twitter Web App,,
"RT @Cartabellotta: Desideri proibiti del #5settembre.
Un misuratore di carica virale di piazza alla manifestazione di #Roma #nomask #novax…",2020-09-05 13:07:01,1302231764073623554,2946340648,Mnt14Steve,"Guastalla, Emilia Romagna",,,,"['5settembre', 'Roma', 'nomask', 'novax']",132,0,it,Twitter for Android,,
"La piazza #NoMask di oggi a #Roma è come la manifestazione in favore della terapia #DiBella di 23 anni fa.
Oggi come allora fascisti e ignoranti agitati per fini politici.",2020-09-05 13:13:13,1302233322278588416,11258252,ldibartolomei,"Roma, Lazio",,,,"['NoMask', 'Roma', 'DiBella']",34,216,it,Twitter for iPhone,,
