Tweet Text,Tweet Datetime,Tweet Id,User Id,User Name,User Location,Tweet Coordinates,Place Info,Country,Hashtags,Retweets,Favorites,Language,Source,Replied Tweet Id,Replied Tweet User Id
"Day 13, final full day of #quarantine in #China because I left for two weeks during the #coronavirus crisis. 

China was in #lockdown when I last saw it, today, when I get out, it will be almost normal again. Still required to #wearamask and #isolate 

https://t.co/jbxCC3ndKW",2020-04-01 00:30:16,1245146428445425677,4359648797,Jerry_grey2002,"Zhongshan, Guangdong",,,,"['quarantine', 'China', 'coronavirus', 'lockdown', 'wearamask', 'isolate']",0,3,en,Twitter Web App,,
@cbcnewsbc #wearamask,2020-04-01 00:40:19,1245148954259578882,3195432382,PegidaCanada,,,,,['wearamask'],0,2,und,Twitter Web App,1.2451463586605957e+18,17138582.0
"RT @Cearcall1: OMG. Still this is getting coverage?!?!
#WearAMask
#StayAtHome
@chrismartenson
https://t.co/w755GfmxdW",2020-04-01 00:53:30,1245152274500014081,1231164631265226753,Rhys11196604,Canada,,,,"['WearAMask', 'StayAtHome']",14,0,en,Twitter for Android,,
"Yes, but who trusts WHO anymore? #WearAMask #MasksSaveLives https://t.co/4Q9qVh5n2j",2020-04-01 01:20:41,1245159114130538496,706919457139105792,Sun_Shiney_Day_,🇺🇸 Sweet Land of Liberty🇺🇸,,,,"['WearAMask', 'MasksSaveLives']",0,0,en,Twitter for iPhone,,
"A choir group in Mount Vernon, Washington, held a rehearsal in early March despite the spread of coronavirus in the state. Of the 60 people attending 45 got #COVID19 - 2 are dead and 3 or more hospitalized. #WearAMask #StayHomeSaveLives",2020-04-01 02:02:22,1245169602398650368,88487190,dms187,"Missouri, USA",,,,"['COVID19', 'WearAMask', 'StayHomeSaveLives']",0,0,en,Twitter Web App,,
RT @terannhilow: More free masks 😷 this is half of what is being donated &amp; shipped tomorrow #thankshealthheroes #stopthespread #WearAMask h…,2020-04-01 02:08:55,1245171251213148161,853955972,jherrm215,"Pennsylvania, USA",,,,"['thankshealthheroes', 'stopthespread', 'WearAMask']",10,0,en,Twitter for iPhone,,
"Rail, inter-city bus travelers required to wear masks 😷 from April 1 - Focus Taiwan

#Masks4All #masks #WearAMask #Taiwan  https://t.co/t13u22GISl",2020-04-01 02:27:34,1245175947571023880,288602012,CynthiaCWoods,United States,,,,"['Masks4All', 'masks', 'WearAMask', 'Taiwan']",0,0,en,Twitter for iPhone,,
"If you are interested in wearing a mask but would like more information, including how to make one check this out.
#WearAMask https://t.co/QxJxSRDbFq",2020-04-01 03:31:24,1245192012145418240,113786557,Glenina57,Close to the edge of Sydney.,,,,['WearAMask'],5,5,en,Twitter for Android,,
@CryptoDouchey @koreanjewcrypto India banned export of cheap drug. US not employing cheap drug. Mexico was the first country i heard using viral suppressants since those drugs are already easily obtained their for public use. The numbers are estimates if people do not stay in and reduce the spread #wearamask,2020-04-01 04:31:03,1245207022334689280,914442320723849216,ALHDZMXN,,,,,['wearamask'],0,2,en,Twitter for iPhone,1.2452047459351142e+18,1.2332341442783273e+18
"@drsanjaygupta @WHO @CDCgov CDC 3 weeks too late for NYC.  I'm an advocate for masks in public.  Sanjay YOU can make this happen faster - 
#MakeAMask #wearamask #StayAtHome 
@DavidCloydMD https://t.co/jS4vZnhRsY",2020-04-01 04:38:01,1245208775088173056,1348258146,DavidCloydMD,,,,,"['MakeAMask', 'wearamask', 'StayAtHome']",1,3,en,Twitter Web App,1.2449566369738015e+18,18170896.0
