Tweet Text,Tweet Datetime,Tweet Id,User Id,User Name,User Location,Tweet Coordinates,Place Info,Country,Hashtags,Retweets,Favorites,Language,Source,Replied Tweet Id,Replied Tweet User Id
"नमस्कार सुप्रभात |
अपने मुंह व नाक को मास्क से इस प्रकार ढकें कि किनारों पर कोई खाली जगह न रह जाए।

#IndiaFightsCoronavirus
#WearAMask
#IndiaFightsCorona",2020-09-01 00:00:00,1300584153281449984,2617066206,DrRPNishank,,,,,"['IndiaFightsCoronavirus', 'WearAMask', 'IndiaFightsCorona']",128,2068,hi,TweetDeck,,
Tag your friends who need this revolutionary product!!! Have you heard that the Face Mask also slows the spread of #COVID19? It works wonders! #WearAMask https://t.co/HrjnruOXqy,2020-09-01 00:00:59,1300584401810731015,69356392,onemedical,www.onemedical.com/locations,,,,"['COVID19', 'WearAMask']",7,13,en,Sprout Social,,
"नमस्कार सुप्रभात |
अपने मुंह व नाक को मास्क से इस प्रकार ढकें कि किनारों पर कोई खाली जगह न रह जाए।

#IndiaFightsCoronavirus
#WearAMask
#IndiaFightsCorona",2020-09-01 00:04:59,1300585406686089216,1008246206680715264,babieartemis,existential crisis :) ,,,,"['IndiaFightsCoronavirus', 'WearAMask', 'IndiaFightsCorona']",2,3,hi,Twitter for Android,,
"Unfortunately, we need to push back against an idea that was ignited by a QAnon supporter's twitter account that claimed the @CDCgov was admitting that only 6% of deaths listed as #COVID19 were actually caused by COVID.  

#WearAMask 

https://t.co/xbSAfzCczr",2020-09-01 00:08:36,1300586318456446976,859445681617907712,UtahPhysicians,"Salt Lake City, UT",,,,"['COVID19', 'WearAMask']",1,2,en,Twitter Web App,,
"@yokoboji #StrongerTogether
#WearAMask 
#VoteBlue2020 
Seriously   Isn't this enough
to judge mental health?👇 https://t.co/rM8EvVw1jT",2020-09-01 00:10:26,1300586780673167360,910697275026022401,holly_diskey,Midwest  USA,,,,"['StrongerTogether', 'WearAMask', 'VoteBlue2020']",1,5,en,Twitter for Android,1.3004454365037855e+18,152749620.0
Keep wearing a mask. Stay at home as long as you can. The pandemic is not over. • joshradnor #joshradnor #wearamask #keepwearingmask #stayhome #pandemicisntover https://t.co/vpqfX5fPp3,2020-09-01 00:11:37,1300587075536814080,3396306803,smuldnor,,,,,"['joshradnor', 'wearamask', 'keepwearingmask', 'stayhome', 'pandemicisntover']",0,0,en,Instagram,,
"#Pronóstico
#LaPlata

#YoMeQuedoEnCasaArgentina 
#StayingHomeSavesLives 
#UsaTapaboca 
#WearAMask https://t.co/a7Euhup18p",2020-09-01 00:11:58,1300587164057698304,438748831,RedWildlyCurls,"Argentina, Bs As, LP.",,,,"['Pronóstico', 'LaPlata', 'YoMeQuedoEnCasaArgentina', 'StayingHomeSavesLives', 'UsaTapaboca', 'WearAMask']",0,0,und,Plume for Android,,
RT @MaleTalentRoom: #WearADamnMask https://t.co/iOdC1tRhNY,2020-09-01 00:14:48,1300587879169626112,1067165370899881986,ThatNamelessBoi,Australia,,,,['WearADamnMask'],451,0,und,Twitter for Android,,
"RT @joncoopertweets: Wearing a mask is both patriotic and a sign of respect for others.
#WearADamnMask",2020-09-01 00:19:32,1300589069097775104,1293919810854641665,char_nee,,,,,['WearADamnMask'],1477,0,en,Twitter for Android,,
@judgementdaze @stop_cov_spread @latimes Masks are for EVERYONE’S safety! 🙄🤦‍♀️#WearADamnMask #MaskUp #Masks4All #WearAMask,2020-09-01 00:19:45,1300589124890443779,917741309431111680,SLillyLace,United States,,,,"['WearADamnMask', 'MaskUp', 'Masks4All', 'WearAMask']",0,1,en,Twitter for iPad,1.3005816347526676e+18,1.2374199744964076e+18
RT @IowaSenate: #StaySafe #StayStrong #StayHome #WashYourHands #WearAMask #CoverYourCough https://t.co/0DB4Jq1pya,2020-09-01 00:21:06,1300589462519308291,3226565178,OutNow45,United States,,,,"['StaySafe', 'StayStrong', 'StayHome', 'WashYourHands', 'WearAMask', 'CoverYourCough']",3,0,und,Twitter for Android,,
"RT @joncoopertweets: Wearing a mask is both patriotic and a sign of respect for others.
#WearADamnMask",2020-09-01 00:22:52,1300589907115606017,21863862,MileMarker70,"California, USA",,,,['WearADamnMask'],1477,0,en,Twitter for Android,,
"RT @VaxxersAnti: It’s a mask Mitchell, not a pillow.

#Covidiots #WearAMask #RatLickers https://t.co/YKRasL9PeB",2020-09-01 00:23:40,1300590110556254210,1175100279802486784,litapi1,"Newton, MA",,,,"['Covidiots', 'WearAMask', 'RatLickers']",5,0,en,Twitter for Android,,
"Rockin’ a new mask from hatchshowprint today!
. . .
#wearamask #maskuptexas #bigpromoswag #mybigpromo https://t.co/cVcdcGE9BU",2020-09-01 00:25:37,1300590597925986306,15036145,biggerfish,Big D,,,,"['wearamask', 'maskuptexas', 'bigpromoswag', 'mybigpromo']",0,1,en,Zapier.com,,
