Tweet Text,Tweet Datetime,Tweet Id,User Id,User Name,User Location,Tweet Coordinates,Place Info,Country,Hashtags,Retweets,Favorites,Language,Source,Replied Tweet Id,Replied Tweet User Id
"#askgovmurphy When is he gonna drop dead? I'd rather lose him than somebody's Granny or Grandpa. Actually I'd rather lose him than really anybody!
#NoMask #NoFear #FakeNews #SheepNoMore #WWG1WGA #WalkAway https://t.co/KBEivygPRO",2020-07-01 00:21:55,1278121620620664838,2288781522,Just2spiffy,New Jersey (for now),,,,"['askgovmurphy', 'NoMask', 'NoFear', 'FakeNews', 'SheepNoMore', 'WWG1WGA', 'WalkAway']",1,1,en,Twitter Web App,,
"RT @shilo1949: #Nevadans, sign the #Petition to help the #NoMask PAC to succeed with eliminating the Gestapo Mask in #Nevada.  Go here and…",2020-07-01 00:24:29,1278122265855447041,1069713891171561472,DesertR06358589,"Nevada, USA",,,,"['Nevadans', 'Petition', 'NoMask', 'Nevada']",13,0,en,Twitter Web App,,
"to the ""my mask only works if you're wearing one"" crowd #NoMasks #WeWillNotComply https://t.co/bXSOrLIJgn",2020-07-01 00:42:41,1278126848132681729,1216755285638963200,SarahJo23672889,,,,,"['NoMasks', 'WeWillNotComply']",3,0,en,Twitter Web App,,
"RT @wmking: It's all about Control. #CrushTheDems #NoMasks 
Fauci is a Liar. https://t.co/IcGK8Qljr1",2020-07-01 00:46:27,1278127794367508480,1147185204760600577,SneakersNHeels2,,,,,"['CrushTheDems', 'NoMasks']",70,0,en,Twitter for Android,,
@sofabUSA @catturd2 @FoxNews They just had a mask brainwashing ad with some of their hosts. They are not pushing those suffocating obedient face diapers for our health &amp; safety. Quite the opposite. #NoMasks #COVID1984,2020-07-01 00:46:37,1278127837669703680,41206435,lilysunshine32,"Genoa City, WI",,,,"['NoMasks', 'COVID1984']",1,2,en,Twitter for iPhone,1.277988322401534e+18,3406298097.0
"@NYCSpeakerCoJo This is what I witnessed in 20 minutes Sunday, never mind Monthsnof it, didn’t @NYGovCuomo say “anyone not wearing a mask is DISRESPECTFUL?????....#nomask #@nypdmaskwatch #nypdmaskwatch #notabovethelong #spreadingcovid https://t.co/WoWXHA1HZm",2020-07-01 00:53:06,1278129470415740930,3000855568,emorocksnyc,new york city,,"Queens, NY",US,"['nomask', 'nypdmaskwatch', 'notabovethelong', 'spreadingcovid']",0,1,en,Twitter for iPad,1.277400483297198e+18,9.485761455486936e+17
"@Cernovich You do you. I'll do me. 
#nomask",2020-07-01 00:59:15,1278131017283321856,1210794215367536640,toby77th,,,,,['nomask'],0,0,en,Twitter for Android,1.2778030212047217e+18,358545917.0
"Is this where masks are heading?

""The company has produced 50 prototypes of the AI smart masks and expects to begin mass-production in August, according to reports.""  #NoMasks 
https://t.co/Mm42XY9cNZ",2020-07-01 01:04:00,1278132212664356865,387377219,Lynne0105,North Carolina,,,,['NoMasks'],1,4,en,Twitter Web App,,
@nowthisnews The level of absolute stupid in this world is mind boggling!!!! #NoMask #TuesdayThoughts #COVIDIOT,2020-07-01 01:07:01,1278132971816566784,22525062,eamckeown,Away from society!!,,,,"['NoMask', 'TuesdayThoughts', 'COVIDIOT']",0,0,en,Twitter for iPhone,1.278104276733178e+18,701725963.0
"@eliyak @BryanWinsAgain @JoeBiden @ukexpat19 Take a meme leave a meme. 

Thanq! 

#WWG1WGA #ObamaGate #Trump2020 #nomasks #Trump2020LandslideVictory #Trump2020LandslideVictory #Trump2020LandslideVictory #Trump2020LandslideVictory https://t.co/FAL8WZGGRq",2020-07-01 01:10:49,1278133928985948160,1275909858382852097,Stacy93088774,"Washington, USA (the state)",,,,"['WWG1WGA', 'ObamaGate', 'Trump2020', 'nomasks', 'Trump2020LandslideVictory', 'Trump2020LandslideVictory', 'Trump2020LandslideVictory', 'Trump2020LandslideVictory']",5,5,en,Twitter for Android,,
