Tweet Text,Tweet Datetime,Tweet Id,User Id,User Name,User Location,Tweet Coordinates,Place Info,Country,Hashtags,Retweets,Favorites,Language,Source,Replied Tweet Id,Replied Tweet User Id
"In 1917, it was ""THE IMPERIALISTS"".
In 1933, it was ""THE JEWS"".
In 2020, it is ""THE VIRUS"".
Welcome to the New World Order END GAME they're LOSING follow 
@FluHoax
 for the latest scamdemic breakdowns
#FauciTheFraud #BillGatesEvil #NewWorldOrder #PlandemicHoax #NoMask #qanon https://t.co/bK5AVxPUrB",2020-11-01 00:06:47,1322691521913737216,1000736389246472193,TomsettRob,,,,,"['FauciTheFraud', 'BillGatesEvil', 'NewWorldOrder', 'PlandemicHoax', 'NoMask', 'qanon']",0,0,en,Twitter Web App,,
People need to wake up! This isn’t about health and safety. This is about control! #NoMoreFakeCases #NoMoreLockdowns #NoMasks #FightBack #COVID1984 https://t.co/s2TN5CgFjz,2020-11-01 02:47:17,1322731912230817792,898302840191541248,ClaraLuzzzz,"New Jersey, USA",,,,"['NoMoreFakeCases', 'NoMoreLockdowns', 'NoMasks', 'FightBack', 'COVID1984']",0,0,en,Twitter for iPhone,,
"Here is my PDF of research regarding mask and related topics. Its about 25 pages and took me a while to put it all together. Hopefully someone will find some use from it. https://t.co/t1zHTp3t5P

#nomasks #masks #masksdontwork #covid19 #coronavirus",2020-11-01 04:02:15,1322750779384647680,330113466,NsideRecruiting,"Pearland, TX ",,,,"['nomasks', 'masks', 'masksdontwork', 'covid19', 'coronavirus']",54,70,en,TweetCaster for Android,,
"@ringostarrmusic and no masks. Proud of you !!!

#NoMasks #COVIDHOAX2020",2020-11-01 04:40:52,1322760494747394048,102587159,bleak,United States,,,,"['NoMasks', 'COVIDHOAX2020']",0,0,en,Twitter Web App,1.3226512584869888e+18,27758112.0
Stop wearing masks when you go out. Most stores don’t enforce them. Don’t be sheep! 🐑 #nomasks https://t.co/Op0iiXneF7,2020-11-01 05:31:40,1322773281825452032,1250997211384541184,CrunchyDoughnu1,,,,,['nomasks'],4,78,en,Twitter for iPhone,,
"RT @MutzUk: Sickening!

Scum needs catching, and fast.

#BLM, #KBF, #NoMasks 
All have led to the entitlement this ""thing"" feels he has to…",2020-11-01 05:57:47,1322779852274049024,98143980,SarahBeynon,"Wales, United Kingdom",,,,"['BLM', 'KBF', 'NoMasks']",3,0,en,Twitter for iPhone,,
"An Animal Coronavirus is only a problem to ppl that have underlying health conditions

Impossible to be ill otherwise.

 Only bad for the Weak.
Weakened by previous Infestations.
All illnesses are caused by out of control Parasites!

#Lockdown is Dumb

#NOLOCKDOWN #NoMasks https://t.co/3lsGospMCI",2020-11-01 07:10:27,1322798137795293184,1275410769656635394,voadicca,All Roads Lead To Rome ,,,,"['Lockdown', 'NOLOCKDOWN', 'NoMasks']",0,0,en,Twitter Web App,,
"@10agapanthus @Anthonynotbot The only idiots are the #COVIDidiots who believe this nonsense. Hiding away. 🤣

Chinese start Coronaviruses bcus of their disgusting Animal Husbandry

Boris wasn't ill from COVID

If he's RH neg, he has resistance to Parasites,  the cause of ALL illnesses 

#NOLOCKDOWN #NoMasks",2020-11-01 07:21:47,1322800992405102593,1275410769656635394,voadicca,All Roads Lead To Rome ,,,,"['COVIDidiots', 'NOLOCKDOWN', 'NoMasks']",0,1,en,Twitter Web App,1.3226781712427663e+18,8.88018929385431e+17
"EVERY #Socialist is a disguised DICTATOR

#DanLied800Died #DanMustGo #DictatorDan #WeDoNotConsent #NoMasks #LockdownsKill #FreeMelbourne #Credlin #ResignDanielAndrews #sackdanandrews https://t.co/SbOamfvAbu",2020-11-01 07:37:11,1322804868419997696,1305708205742333952,AgnesNorman64,,,,,"['Socialist', 'DanLied800Died', 'DanMustGo', 'DictatorDan', 'WeDoNotConsent', 'NoMasks', 'LockdownsKill', 'FreeMelbourne', 'Credlin', 'ResignDanielAndrews', 'sackdanandrews']",6,15,en,Twitter Web App,,
@WLaowai8 Please tell us what you know about the poor folks that live in 60sq foot rooms/cages in #HongKong sharing one bathroom with 30 others. Like #NoMasks #NoDistancing sadly MANY Rich people ignore it. Why NO #COVID So #Confused,2020-11-01 07:37:23,1322804917455630337,34002259,travelynjan,,,,,"['HongKong', 'NoMasks', 'NoDistancing', 'COVID', 'Confused']",0,0,en,Twitter for Android,1.3225672789241938e+18,1.222962476729299e+18
"RT @AgnesNorman64: EVERY #Socialist is a disguised DICTATOR

#DanLied800Died #DanMustGo #DictatorDan #WeDoNotConsent #NoMasks #LockdownsKil…",2020-11-01 07:40:35,1322805723579867136,1275950771264077824,AussieDiQ,,,,,"['Socialist', 'DanLied800Died', 'DanMustGo', 'DictatorDan', 'WeDoNotConsent', 'NoMasks']",6,0,en,Twitter Web App,,
"Yes get on with normal life, the government should give money to the few who should isolate while the rest of us rebuild the damage from the #PlandemicHoax #NoNewNormal #NoMasks https://t.co/8xSlPaQ1JV",2020-11-01 08:43:16,1322821496679649280,768367412731412480,Longmuir19,"Windsor, South East",,,,"['PlandemicHoax', 'NoNewNormal', 'NoMasks']",0,4,en,Twitter for Android,,
Come at me mask wearers #NoMasks @LeeHurstComic https://t.co/2oTo8XmXPh,2020-11-01 08:54:45,1322824387096203264,1170212530356203520,PeterWe78462867,"England, United Kingdom",,,,['NoMasks'],1,5,en,Twitter for iPhone,,
RT @PeterWe78462867: Come at me mask wearers #NoMasks @LeeHurstComic https://t.co/2oTo8XmXPh,2020-11-01 09:24:18,1322831824763179010,931291852610949120,Anthony196026,,,,,['NoMasks'],1,0,en,Twitter for Android,,
RT @CrunchyDoughnu1: Stop wearing masks when you go out. Most stores don’t enforce them. Don’t be sheep! 🐑 #nomasks https://t.co/Op0iiXneF7,2020-11-01 11:13:04,1322859195507462145,1186305232604549120,HolyRomanCatho1,,,,,['nomasks'],4,0,en,Twitter Web App,,
"@MayorofLondon Dr Mike Yeadon 30y+veteran research scientist &amp; former peer of Sir Patrick Vallance.Chief Scientific Officer of A&amp;R Research Unit of Pfizer,published over 40 original research articles etc.Calls out Vallance,explains the science:  #KBF #Plandemic #NoMask 
https://t.co/CWE1tuskI4",2020-11-01 11:27:57,1322862942728146945,330671747,HilltopHare,"Rural Scotland,United Kingdom",,,,"['KBF', 'Plandemic', 'NoMask']",0,0,en,Twitter Web App,1.3228296729971466e+18,14700117.0
"....not equate to supporting Ohio Republicans who are ignoring constitution, letting an autocrat run the state, destroying biz and hurting school kids. Trump will lead the way and cut off your Fed #scamdemic monies. #OpenOhio #NeverMasks #NoMasks",2020-11-01 11:51:52,1322868962053431296,260398846,andyfurniss,"Ohio, USA",,,,"['scamdemic', 'OpenOhio', 'NeverMasks', 'NoMasks']",2,24,en,Twitter for iPhone,1.3228689556990607e+18,260398846.0
Posted this a while bk but I think a few need to hear it again 🤣 #NoMoreLockdowns #KBF #NoMask #wewillnotcomply #BorisHasFailedTheUK https://t.co/JdXyn7Ywiv,2020-11-01 12:21:53,1322876514430554112,1243316460073684993,Jon1618h,"London, England",,,,"['NoMoreLockdowns', 'KBF', 'NoMask', 'wewillnotcomply', 'BorisHasFailedTheUK']",12,28,en,Twitter for Android,,
"@LeeTodd34313277 @sinkaspud @Nigel_Farage @england_made There's no virus, no pandemic, you have been had my friend along with the majority #NoMasks #PlandemicHoax",2020-11-01 12:31:20,1322878892823240710,1259420525618769920,Jonathan___X,,,,,"['NoMasks', 'PlandemicHoax']",0,1,en,Twitter Web App,1.3228777854807982e+18,1.0456946754646712e+18
"@akaseano @Rebelforever20 Masks don't work
Lockdowns don't work
#fakevirus 
#PlandemicHoax 
#NoMasks",2020-11-01 12:43:18,1322881903893057538,1259420525618769920,Jonathan___X,,,,,"['fakevirus', 'PlandemicHoax', 'NoMasks']",0,0,en,Twitter Web App,1.322880610696835e+18,540672488.0
"@kmgc53 @GOPChairwoman @realDonaldTrump Voting for a muzzle supporting candidate to hide from a 99.95+% virus is just handing your rights over

#Scamdemic #Fakedemic

#NoMasks #NoMuzzles
#ImmuneSystemsWork",2020-11-01 13:07:55,1322888099324743685,1285971376852082688,Michaellite1,,,,,"['Scamdemic', 'Fakedemic', 'NoMasks', 'NoMuzzles', 'ImmuneSystemsWork']",0,0,en,Twitter Web App,1.322884492986622e+18,44530272.0
RT @Jon1618h: Posted this a while bk but I think a few need to hear it again 🤣 #NoMoreLockdowns #KBF #NoMask #wewillnotcomply #BorisHasFail…,2020-11-01 13:08:13,1322888174788595716,600877611,dafhwales,UK,,,,"['NoMoreLockdowns', 'KBF', 'NoMask', 'wewillnotcomply']",12,0,en,Twitter Web App,,
"Obviously you are blinded by bias and cant see the truth if it smacked you on your masked face.. You are showing your a political cuck and have no credibility left. 
U = 🤡
#ignoreAndy
#NoMasks 
#TeamKentucky https://t.co/eZFQviwjtU",2020-11-01 13:30:00,1322893656332947462,1275186355686031361,StevenJ56038726,,,,,"['ignoreAndy', 'NoMasks', 'TeamKentucky']",0,1,en,Twitter for Android,,
"@leongend @marco_maiocchi I am not ""preaching medical stuff"" as a PhD researcher and advisor, my job is to evaluate the merits of evidence based arguments. 
My article
Pro-Lockdown Argument Fails Academic Test. 
#endthelockdown #nomasks #openschools  https://t.co/h1Y9vPZYw5",2020-11-01 14:10:35,1322903868234031104,125873258,Brooklynmonk,"Ulaanbaatar, Mongolia",,,,"['endthelockdown', 'nomasks', 'openschools']",1,0,en,Twitter Web App,1.32290087908787e+18,3943921039.0
@ABC @GStephanopoulos Your masks are placebos #NoMasks #Trump2020,2020-11-01 14:38:12,1322910820683141120,749671953527611392,timelord420420,,,,,"['NoMasks', 'Trump2020']",0,0,en,Twitter for Android,1.322907791657472e+18,28785486.0
The latest The Health care Daily! https://t.co/OzDCIbidZ9 #themoreyouknow #nomask,2020-11-01 14:53:14,1322914601839767554,1019604048591253504,sunilku44999456,"बलिया, भारत",,,,"['themoreyouknow', 'nomask']",0,0,en,Paper.li,,
"Who wants to be part of the #nomoreexcuses 
#NoMoreLockdowns 
#NoMoreFakeCases 
#NoMatterWhat #NoMasks show #NOMOREFEAR 
DM me , for more information.",2020-11-01 14:53:43,1322914722656768002,1322624790365147137,Loulou47475097,"Sittingbourne, England",,,,"['nomoreexcuses', 'NoMoreLockdowns', 'NoMoreFakeCases', 'NoMatterWhat', 'NoMasks', 'NOMOREFEAR']",4,4,en,Twitter for Android,1.3229147152118456e+18,1.3226247903651471e+18
The latest The Health Daily! https://t.co/xopbhCjiyV Thanks to @pommecan2 @LindaMeredithFL #themoreyouknow #nomask,2020-11-01 15:06:34,1322917957295628290,1097517192059379712,PandeyRitushree,sonebhadra,,,,"['themoreyouknow', 'nomask']",0,0,en,Paper.li,,
"It is November 1st and Emperor @GregAbbott_TX  still has Texans muzzled and Texas still is not fully open.

#15DaysToFlattenCurveLie
#SantaAnnaAbbott 
#NoMasks 
#OpenTexas",2020-11-01 15:19:04,1322921102851670022,22573088,Texas56,"6th Generation Texan, Descendant of Mayflower passengers, Descendant of American Revolution Soldiers, #Prolife #NRA #Israel",,,,"['15DaysToFlattenCurveLie', 'SantaAnnaAbbott', 'NoMasks', 'OpenTexas']",1,5,en,Twitter Web App,,
The latest The Health Daily! https://t.co/4HVinVkxKB #themoreyouknow #nomask,2020-11-01 15:26:30,1322922973679001600,1204029406118678528,DamascoThea,,,,,"['themoreyouknow', 'nomask']",0,0,en,Paper.li,,
RT @stevelanebitch: US Army Surgeon explains why masks do not work. #nomasks https://t.co/ojF6a1gzFI,2020-11-01 15:27:16,1322923166214332416,272179654,TIAWANAS,Canada,,,,['nomasks'],634,0,en,Twitter Web App,,
"Sounds like @AlexBerenson has reluctantly boarded the Trump Train! Welcome aboard, sir. 
#NoMasks 
#nolockdown 
#ReopenAmerica https://t.co/OLHXrRgkGD",2020-11-01 15:29:28,1322923722811101192,53763304,michaelstout1,Texas Tiger,,,,"['NoMasks', 'nolockdown', 'ReopenAmerica']",0,0,en,Twitter for Android,,
RT @stevelanebitch: US Army Surgeon explains why masks do not work. #nomasks https://t.co/ojF6a1gzFI,2020-11-01 15:48:19,1322928464018722821,1313916889844920320,CrustyOldDana,,,,,['nomasks'],634,0,en,Twitter for iPhone,,
RT @stevelanebitch: US Army Surgeon explains why masks do not work. #nomasks https://t.co/ojF6a1gzFI,2020-11-01 16:11:18,1322934248395939840,137879294,UrbanPienews,Vancouver,,,,['nomasks'],634,0,en,Twitter Web App,,
"So f****** what.

#Scaremongering Bullshit 

5 great places to Workout ur Immunity! 

#NOLOCKDOWN #NoMasks 

#SocialIsolation Kills! https://t.co/N1jn4ilxfg",2020-11-01 16:16:47,1322935629181784066,1275410769656635394,voadicca,All Roads Lead To Rome ,,,,"['Scaremongering', 'NOLOCKDOWN', 'NoMasks', 'SocialIsolation']",0,0,en,Twitter Web App,,
"@greatawakecoach Infrared controls/kills Parasites that's why #ArrestBillGates is covering the Sun. #Cancer

We need the Sun to control them.

Inflammation is caused by Parasites 

#NOLOCKDOWN #NoMasks 

https://t.co/8ATMZ7d3tI",2020-11-01 16:56:37,1322945652725350404,1275410769656635394,voadicca,All Roads Lead To Rome ,,,,"['ArrestBillGates', 'Cancer', 'NOLOCKDOWN', 'NoMasks']",0,0,en,Twitter Web App,1.322941470496551e+18,1.0135345857102438e+18
@WelshGovernment #Liars #Frauds restore #HumanRights #FreedomToChoose #RightToFamilyLife #OpenBorder #Liberty #NoMasks #NoNewNormal #NoSocialDistancing #LifeIsRisk #NurembergCode https://t.co/8zQfoWG6A8,2020-11-01 17:12:46,1322949718650032129,51070797,TandT_SEO,"Cardigan, Wales",,,,"['Liars', 'Frauds', 'HumanRights', 'FreedomToChoose', 'RightToFamilyLife', 'OpenBorder', 'Liberty', 'NoMasks', 'NoNewNormal', 'NoSocialDistancing', 'LifeIsRisk', 'NurembergCode']",0,0,en,Twitter for Android,1.3228118804281836e+18,41874178.0
@Malfunctionin14 This is the real law they're breaking #NurembergCode seizure of our #HumanRights #FreedomToChoose #RightToFamilyLife #OpenBorder #Liberty #NoMasks #NoNewNormal #NoSocialDistancing #LifeIsRisk https://t.co/qSGThwRIfS,2020-11-01 17:16:08,1322950563802370048,51070797,TandT_SEO,"Cardigan, Wales",,,,"['NurembergCode', 'HumanRights', 'FreedomToChoose', 'RightToFamilyLife', 'OpenBorder', 'Liberty', 'NoMasks', 'NoNewNormal', 'NoSocialDistancing', 'LifeIsRisk']",0,1,en,Twitter for Android,1.322944265849348e+18,1.22954870969387e+18
"@WelshGovernment #ShameOnYouAll restore #HumanRights #RightToFamilyLife #FreedomToChoose #OpenBorder #Liberty #NoMasks #NoNewNormal #NoSocialDistancing #LifeIsRisk #NurembergCode 
https://t.co/fZB9GvXHiB",2020-11-01 17:25:03,1322952807369056261,51070797,TandT_SEO,"Cardigan, Wales",,,,"['ShameOnYouAll', 'HumanRights', 'RightToFamilyLife', 'FreedomToChoose', 'OpenBorder', 'Liberty', 'NoMasks', 'NoNewNormal', 'NoSocialDistancing', 'LifeIsRisk', 'NurembergCode']",0,0,en,Twitter for Android,1.3228118804281836e+18,41874178.0
"@Bella_Emerald1 @fordnation #NoMasks should be mandatory

#covid slaves",2020-11-01 17:36:42,1322955741393833987,2757726663,647_416,,,,,"['NoMasks', 'covid']",1,2,en,Twitter Web App,1.3229554757140357e+18,1.233908023963398e+18
"RT @Loulou47475097: Who wants to be part of the #nomoreexcuses 
#NoMoreLockdowns 
#NoMoreFakeCases 
#NoMatterWhat #NoMasks show #NOMOREFEAR…",2020-11-01 17:37:26,1322955925808943110,3258060238,matt_hitch9,,,,,"['nomoreexcuses', 'NoMoreLockdowns', 'NoMoreFakeCases', 'NoMatterWhat', 'NoMasks', 'NOMOREFEAR']",4,0,en,Twitter for Android,,
"#NoMasks
Which one of these 2 world views is worth living in? Not just these words, but these visuals.
We are talking total personal, economic &amp; culture collapse with a Biden win. https://t.co/3hl33qiySE",2020-11-01 17:44:38,1322957736498335748,526578318,joeepopp,Anywhere and Everywhere,,,,['NoMasks'],0,0,en,Twitter Web App,,
@GovernorKayIvey @ALPublicHealth at some point you are going to answer for your madness. #NoMasks https://t.co/WSqbscMZYd,2020-11-01 17:57:59,1322961094454005760,2177528854,wareagleart007,"Auburn, AL.",,,,['NoMasks'],0,1,en,Twitter for iPhone,,19668491.0
"@fmwales @WelshGovernment #ShameOnYouAll restore #HumanRights #FreedomToChoose #RightToFamilyLife #OpenBorder #Liberty #NoMasks #NoNewNormal #NoSocialDistancing #LifeIsRisk #NurembergCode 
https://t.co/uGAKfhGESE",2020-11-01 18:32:57,1322969897777963009,51070797,TandT_SEO,"Cardigan, Wales",,,,"['ShameOnYouAll', 'HumanRights', 'FreedomToChoose', 'RightToFamilyLife', 'OpenBorder', 'Liberty', 'NoMasks', 'NoNewNormal', 'NoSocialDistancing', 'LifeIsRisk', 'NurembergCode']",2,3,en,Twitter for Android,1.3229582827939103e+18,191862712.0
"@Janet4Pinellas She wants to make you sick with the mask, because if you’re live next to the ocean breathe fresh air #NoMask",2020-11-01 18:46:45,1322973367813758977,1309591862643224576,Bitcoin_2021_,,,,,['NoMask'],0,0,en,Twitter for iPhone,1.3227595868399616e+18,545973712.0
"@WISN12News Damn man, make up our minds already !!! Do masks work, do they not work ? This is BULLSHIT ! Every other day...they work, they dont work, they COULD work ? Enough.... This AMERICAN has been mask free since March. I refuse ! #NoMasks",2020-11-01 18:57:15,1322976013060575237,1245035468066033666,LeonardMajor1,,,,,['NoMasks'],1,2,en,Twitter Web App,1.322967669457539e+18,20252482.0
"Whatever the illness, Parasites are to blame.
Pollutants stop us from dealing with them.
I don't believe in Climate Change, but I do believe we need to reduce Pollution bcus of the effect on All beings.
#ArrestBillGates for Covering the Sun #NOLOCKDOWN #NoMasks
#LegaliseCannabis",2020-11-01 19:51:39,1322989701394038790,1275410769656635394,voadicca,All Roads Lead To Rome ,,,,"['ArrestBillGates', 'NOLOCKDOWN', 'NoMasks', 'LegaliseCannabis']",1,0,en,Twitter Web App,,
"@drdavidsamadi Yea we get the flu, no masks &amp; no cure. Just have to ride it out with meds. So we need to stop giving them control over us!  #NoMasks",2020-11-01 19:52:01,1322989791886102530,73527344,MicGiordano,,,,,['NoMasks'],0,0,en,Twitter for iPhone,1.3229645466512384e+18,25816369.0
Breathing is a human right #nomask https://t.co/oVuu6BQ3g8,2020-11-01 21:07:24,1323008763457118211,36207176,covertress,,,,,['nomask'],2,11,en,Twitter Web App,,
RT @covertress: Breathing is a human right #nomask https://t.co/oVuu6BQ3g8,2020-11-01 21:28:56,1323014184708263938,817468399164997632,BurdgesW,Wisconsin ,,,,['nomask'],2,0,en,Twitter Web App,,
RT @covertress: Breathing is a human right #nomask https://t.co/oVuu6BQ3g8,2020-11-01 21:58:34,1323021641329377280,1246516068677554177,feu_serpent,,,,,['nomask'],2,0,en,Twitterrific for iOS,,
"Never a truer word spoken.
#VforVendetta
#NoMasks https://t.co/jLsoBJ4CHj",2020-11-01 22:10:58,1323024762042548225,1250314187743457280,WeWillBeFree82,SW London,,,,"['VforVendetta', 'NoMasks']",24,115,en,Twitter for iPhone,,
"RT @WeWillBeFree82: Never a truer word spoken.
#VforVendetta
#NoMasks https://t.co/jLsoBJ4CHj",2020-11-01 22:14:48,1323025727445520390,1316738250573312001,victoriaerrin,"Liverpool, England",,,,"['VforVendetta', 'NoMasks']",24,0,en,Twitter for iPhone,,
Together we are stronger. Two periods of industrial action in the FS has taught me this #butterflyeffect #nolockdown #nomasknovember #nomask,2020-11-01 22:25:29,1323028414303887360,400733896,Austinfoy77,,,,,"['butterflyeffect', 'nolockdown', 'nomasknovember', 'nomask']",0,0,en,Twitter for iPhone,,
@kirstiealley help this go viral.. @ChrisCuomo #NoMasks @CNN @cnnbrk https://t.co/EaP9OQpwPb,2020-11-01 22:28:15,1323029111372210177,884962277262327808,DomainsbyDrew,"San Antonio, TX",,,,['NoMasks'],0,0,en,Twitter for iPhone,,36528126.0
And NO! #NoMasks #COVID1984 #LyingJoeBiden #LyingBiden  #OpenUpAmerica !!! #OpenUpTheWorld !!! https://t.co/XuWY9uQYi0,2020-11-01 22:37:24,1323031415726899200,1282809333185744896,ShineInfinity99,,,,,"['NoMasks', 'COVID1984', 'LyingJoeBiden', 'LyingBiden', 'OpenUpAmerica', 'OpenUpTheWorld']",0,0,en,Twitter for iPhone,,
Amen. And #NoMasks https://t.co/mXzpRAXVMD,2020-11-01 22:37:41,1323031483691532289,501464503,Pblackwood3,somewhere,,,,['NoMasks'],0,0,en,Twitter for iPhone,,
@thecjpearson @TBeansprout @realDonaldTrump Thank you patriot 🙏I voted #earlyvotingNC In person #NoMask for @realDonaldTrump &amp; #VoteRED2020RemoveEveryDemocrat,2020-11-01 22:43:56,1323033057801211904,777505235262726144,_GMan4,"North Carolina, USA",,,,"['earlyvotingNC', 'NoMask', 'VoteRED2020RemoveEveryDemocrat']",0,0,en,Twitter for iPhone,1.3226112170730865e+18,2393323908.0
"@JamesRapunxel @DailyMailUK @MailOnline Yup. Lies, lies &amp; more lies. When are people going to waken up &amp; realise they don’t give a stuff about anyone but themselves. @KensingtonRoyal #FakeNews #CovidHoax #ISmellShite #CrimesAgainstHumanity #DavosScum #TheGreatReset #Agenda21 #WindsorVirus #NoMasks #NoNewNormal https://t.co/gydpYIQGEy",2020-11-01 23:21:43,1323042565877387281,1243199718731198472,SheenMalcolm,,,,,"['FakeNews', 'CovidHoax', 'ISmellShite', 'CrimesAgainstHumanity', 'DavosScum', 'TheGreatReset', 'Agenda21', 'WindsorVirus', 'NoMasks', 'NoNewNormal']",0,0,en,Twitter for iPhone,1.3230340885891973e+18,1575643604.0
@CanuckTraveler @globeandmail I will NEVER take this poison vaccine that they are clearly LYING about! My gosh you people are dense!!!! #NoMask #NoVaccines https://t.co/iPUvDsICTD,2020-11-01 23:30:27,1323044765353627648,1046592007970410498,Marinez1M,Blessed SOUTH,,,,"['NoMask', 'NoVaccines']",0,0,en,Twitter for iPhone,1.3225785635901809e+18,1.0061860753904394e+18
