Tweet Text,Tweet Datetime,Tweet Id,User Id,User Name,User Location,Tweet Coordinates,Place Info,Country,Hashtags,Retweets,Favorites,Language,Source,Replied Tweet Id,Replied Tweet User Id
"RT @KentuckyMBB: Social distance, wash your hands and #WearAMask!!!",2020-07-01 21:08:32,1278435342971031558,480558372,edotBrand,CLT/Bham/ATL/Kentucky/BNA,,,,['WearAMask'],45,0,en,Twitter for iPhone,,
"The toddler in chief says he has a very nice mask it's black and strong looking... he thinks he looks like the lone ranger. Please impeach the crazy motherfucker, now. I can't take much more. 
#WearADamnMask",2020-07-01 21:08:32,1278435343520403461,595582707,naughtywriter2,In your fantasy,,,,['WearADamnMask'],9,38,en,Twitter Web App,,
"Those who get it...

Get it 

#WearAMask #redshirt #startrek https://t.co/hbrXy19Pyz",2020-07-01 21:09:05,1278435479281717250,94999797,ChrisHughes1984,"Kent, England",,,,"['WearAMask', 'redshirt', 'startrek']",0,1,en,Twitter for Android,,
"Hey D!ckbag #WearADamnMask you carrier dunce !  Thanks 😊 
#California #MandatoryMasks #Manhattan #thevillages https://t.co/ZIYOqHvjWR",2020-07-01 21:10:03,1278435722156965888,795276654088163330,democracy_16,"Boston, MA",,,,"['WearADamnMask', 'California', 'MandatoryMasks', 'Manhattan', 'thevillages']",0,0,en,Twitter Web App,,
RT @1SpencerGarrett: Just gonna leave this here. The right people will get it. #WearAMask https://t.co/oRIKboHvQu,2020-07-01 21:10:32,1278435845893165057,409354211,PaulOutBox,"Up State, New York, USA",,,,['WearAMask'],4618,0,en,Twitter for Android,,
RT @dragnslayerbabe: get👏🏻over👏🏻yourself👏🏻 #Covid_19 #WearAMaskSaveALife https://t.co/6cdDfF6hRI,2020-07-01 21:10:37,1278435866864693248,749808539464376321,LilyMarlane_,Hell,,,,"['Covid_19', 'WearAMaskSaveALife']",5,0,en,Twitter for iPhone,,
"@MPRnews No, but there is much evidence that gathering in bars, indoor restaurants, and church has been doing so......#WearAMask, #SocialDistance, #ListenToTheExperts, Science is facts not propaganda",2020-07-01 21:10:37,1278435867271614467,825170677661589505,Dad4theFuture,,,,,"['WearAMask', 'SocialDistance', 'ListenToTheExperts']",0,0,en,Twitter Web App,1.2784213659729715e+18,15965292.0
RT @1SpencerGarrett: Just gonna leave this here. The right people will get it. #WearAMask https://t.co/oRIKboHvQu,2020-07-01 21:10:55,1278435941510795267,344176202,ASUJUNKIE,,,,,['WearAMask'],4618,0,en,Twitter for iPhone,,
Well said.    #WearAMask https://t.co/5p8yIxtoVY,2020-07-01 21:11:15,1278436026667675655,1240988097225072640,LindyRae4,"Wisconsin, USA",,,,['WearAMask'],0,3,en,Twitter for iPad,,
"‘Happy’ #doctorsday2020 . This picture is a mosaic of photos of healthcare workers who’ve died from #COVID__19 Expand it to see. My cousin sent it, with this note: “It is difficult to be a doctor and very easy to criticize.” Yes. #WearADamnMask Thank you. @ShesOnCall #MedTwitter https://t.co/BEO00z03BX",2020-07-01 21:11:23,1278436061660790785,1271790903980625922,DrSujanaENT,,,,,"['doctorsday2020', 'COVID__19', 'WearADamnMask', 'MedTwitter']",20,26,en,Twitter for iPhone,,
"Now that the no football this fall possibility is out there, it is obvious @henrymcmaster is “punting” to local governments to try to pass local mask ordinances. #WearADamnMask",2020-07-01 21:11:24,1278436065976647687,2319105211,garyclarysc,"Clemson, SC",,,,['WearADamnMask'],14,126,en,Twitter for iPhone,,
If you can breathe through a hood you can wear the mask.... stop making it political. #WearAMask https://t.co/ehhKomR5nI,2020-07-01 21:11:26,1278436071135739904,24652687,energiaflows,"Las Vegas, NV",,"Henderson, NV",US,['WearAMask'],0,0,en,Twitter for iPhone,,
RT @LawJSharma: We’re officially living in a Parks and Rec episode. #WearAMask https://t.co/LknwwdYmvF,2020-07-01 21:11:51,1278436175984852992,2300525815,Monsternitaa,"San Bernardino, CA",,,,['WearAMask'],33592,0,en,Twitter for iPhone,,
"RT @RadicalTres: Are you all expecting me to have my old profile pic? Duh. 😂

#AngelinaJolie #WearAMask https://t.co/YVGsyCeGWu",2020-07-01 21:12:12,1278436264891633666,967799568015425542,Nena_Nina_Schi,,,,,"['AngelinaJolie', 'WearAMask']",12,0,en,Twitter Web App,,
