Tweet Text,Tweet Datetime,Tweet Id,User Id,User Name,User Location,Tweet Coordinates,Place Info,Country,Hashtags,Retweets,Favorites,Language,Source,Replied Tweet Id,Replied Tweet User Id
"Singapore morning news for May 1

via @aecnewstoday 

#Independent #Asean #journalism based in #Cambodia 

#StayHome #isolate #prepare #WearAMask

https://t.co/d4NKwHzu0h https://t.co/nRjyksbhsM",2020-05-01 00:08:02,1256012467253260290,3265583034,AecNewsToday,Cambodia,,,,"['Independent', 'Asean', 'journalism', 'Cambodia', 'StayHome', 'isolate', 'prepare', 'WearAMask']",6,1,en,Buffer,,
"Indonesia morning news for May 1

via @aecnewstoday 

#Independent #Asean #journalism based in #Cambodia 

#StayHome #isolate #prepare #WearAMask

https://t.co/y3EQ8PNoeN https://t.co/F4WMCEhEMU",2020-05-01 00:13:08,1256013749741330440,3265583034,AecNewsToday,Cambodia,,,,"['Independent', 'Asean', 'journalism', 'Cambodia', 'StayHome', 'isolate', 'prepare', 'WearAMask']",5,0,en,Buffer,,
"RT @SDG2030: Indigenous women in Brazil are selling face masks to survive the pandemic #BeatCOVID19 #WearAMask 

@TerriHansen @KAKA @JoaoMo…",2020-05-01 00:17:22,1256014815115595777,1058076294401921025,ActivateImpact,Bengaluru l India l USA,,,,"['BeatCOVID19', 'WearAMask']",9,0,en,Twitter for iPhone,,
"Cambodia morning news for May 1

via @AecNewsToday 

#Independent #Asean #journalism based in #Cambodia 

#StayHome #isolate #prepare #WearAMask

https://t.co/TOYokjkWm8 https://t.co/XZ3y9NmIpx",2020-05-01 00:19:38,1256015385909846016,3265583034,AecNewsToday,Cambodia,,,,"['Independent', 'Asean', 'journalism', 'Cambodia', 'StayHome', 'isolate', 'prepare', 'WearAMask']",5,0,en,TweetDeck,,
"Asean morning news for May 1

via @aecnewstoday 

#Independent #Asean #journalism based in #Cambodia 

#StayHome #isolate #prepare #WearAMask

https://t.co/lWGUsYNHs3 https://t.co/p6MYgy3Ct7",2020-05-01 00:20:02,1256015486858469383,3265583034,AecNewsToday,Cambodia,,,,"['Independent', 'Asean', 'journalism', 'Cambodia', 'StayHome', 'isolate', 'prepare', 'WearAMask']",5,0,en,Buffer,,
"Social Distancing Is Key

#StayHome
#WashYourHands
#WearAMask https://t.co/mEcZHZGZpp",2020-05-01 00:42:52,1256021231549198341,1245984644270620672,BeatzStory,"Cape Town, South Africa",,,,"['StayHome', 'WashYourHands', 'WearAMask']",0,1,en,Twitter for Android,,
This design is very popular on #masks in my @zazzle store! #Purple and #Black #Cats and #PawPrints Cloth #FaceMask https://t.co/mk2yJ2Tiq7 #facemasks4all #WearAMask #COVID19 #SocialDistancing #zazzlemade #zazzle https://t.co/IPVb3MCeIp,2020-05-01 00:48:01,1256022531292696578,415288121,julieerindesign,Vancouver,,,,"['masks', 'Purple', 'Black', 'Cats', 'PawPrints', 'FaceMask', 'facemasks4all', 'WearAMask', 'COVID19', 'SocialDistancing', 'zazzlemade', 'zazzle']",4,11,en,Buffer,,
I do get a kick out of this simple infographic. #COVID19 #WearAMask https://t.co/N1rzCEZqws,2020-05-01 01:29:03,1256032853969612801,5878102,vinifico,"Vancouver, British Columbia",,,,"['COVID19', 'WearAMask']",0,1,en,Twitter Web App,,
"#Economic losses from #COVID-19 onslaught hit P700 billion
” &amp; all the #Philippines Morning #news you need to know on one page for May 1, 2020 via @AecNewsToday 

#Independent #Asean #journalism based in #Cambodia 

#StayHome #isolate #prepare #WearAMask
 https://t.co/6ax7EUW3o0",2020-05-01 01:36:00,1256034605922222087,3265583034,AecNewsToday,Cambodia,,,,"['Economic', 'COVID', 'Philippines', 'news', 'Independent', 'Asean', 'journalism', 'Cambodia', 'StayHome', 'isolate', 'prepare', 'WearAMask']",2,0,en,Buffer,,
"The US accounts for more than a third of deaths to #COVID__19 BY OURSELVES! We absolutely need to #DoBetter 
#StayHome #WashYourHands #WearAMask #createdforcrisis https://t.co/agN6kapCFL",2020-05-01 02:04:49,1256041855730331648,1248586103793299456,Created4Crisis,,,,,"['COVID__19', 'DoBetter', 'StayHome', 'WashYourHands', 'WearAMask', 'createdforcrisis']",6,7,en,Twitter for iPhone,,
"Are you ready for the tsunami of hungry, unemployed, indebted, around the world? 
#COVID19 #depression2020 
#prepare #StayHome #WearAMask https://t.co/TLS1Xxd0Vj",2020-05-01 02:07:48,1256042609081847808,17183476,photo_journ,Thailand,,,,"['COVID19', 'depression2020', 'prepare', 'StayHome', 'WearAMask']",1,6,en,TweetDeck,,
This explains it so well. #WearAMask #COVID19  https://t.co/kiieUU6CF8,2020-05-01 02:10:50,1256043372986413060,605824568,JenArnoldMD,"St. Petersburg, Florida",,,,"['WearAMask', 'COVID19']",23,104,en,Twitter for iPhone,,
"Seat belts, motorcycle helmets, life jackets, child car seats, smoking bans... we eventually get used to the laws and norms that are put in place to protect us and our loved ones. We don't want to comply right away, but we do eventually. #WearAMask",2020-05-01 02:24:10,1256046727888429056,216910602,anikawriter,Minneapolis,,,,['WearAMask'],0,2,en,Twitter Web App,,
"Vietnam Poised to #Export #COVID-19 Test Kits
” &amp; all the #Vietnam Morning #news you need to know on one page for May 1, 2020 via @AecNewsToday 

#Independent #Asean #journalism based in #Cambodia 

#StayHome #isolate #prepare #WearAMask https://t.co/jvJc13AWat",2020-05-01 02:26:01,1256047190952329217,3265583034,AecNewsToday,Cambodia,,,,"['Export', 'COVID', 'Vietnam', 'news', 'Independent', 'Asean', 'journalism', 'Cambodia', 'StayHome', 'isolate', 'prepare', 'WearAMask']",0,0,en,Buffer,,
RT @JenArnoldMD: This explains it so well. #WearAMask #COVID19  https://t.co/kiieUU6CF8,2020-05-01 02:32:46,1256048890886811648,32365482,marinemom36,"Concord, CA",,,,"['WearAMask', 'COVID19']",23,0,en,Twitter Web App,,
"Myanmar #Tourism #Sector Braced for 50% Job Cuts Amid #COVID-19 Downturn
” &amp; all the #Myanmar Morning #news May 1, 2020 via @AecNewsToday 

#Independent #Asean #journalism based in #Cambodia 

#StayHome #isolate #prepare #WearAMask https://t.co/f6owLwKp5y",2020-05-01 02:42:01,1256051216645345280,3265583034,AecNewsToday,Cambodia,,,,"['Tourism', 'Sector', 'COVID', 'Myanmar', 'news', 'Independent', 'Asean', 'journalism', 'Cambodia', 'StayHome', 'isolate', 'prepare', 'WearAMask']",0,0,en,Buffer,,
"Six types of #business and leisure activities to resume on Sunday
” &amp; all the #Thailand Morning #news for May 1, 2020 via @AecNewsToday 

#Independent #Asean #journalism based in #Cambodia 

#StayHome #isolate #prepare #WearAMask https://t.co/koMtIvEFik",2020-05-01 02:58:00,1256055242749292544,3265583034,AecNewsToday,Cambodia,,,,"['business', 'Thailand', 'news', 'Independent', 'Asean', 'journalism', 'Cambodia', 'StayHome', 'isolate', 'prepare', 'WearAMask']",0,0,en,Buffer,,
"Projecting a sensible #Covid-19 battle” &amp; all the #Asean Morning #news you need to know on one page for May 1, 2020 via @AecNewsToday 

#Independent #Asean #journalism based in #Cambodia 

#StayHome #isolate #prepare #WearAMask https://t.co/F0B3Mm76KX",2020-05-01 03:10:01,1256058263902097410,3265583034,AecNewsToday,Cambodia,,,,"['Covid', 'Asean', 'news', 'Independent', 'Asean', 'journalism', 'Cambodia', 'StayHome', 'isolate', 'prepare', 'WearAMask']",0,0,en,Buffer,,
"#COVID19 in Asean: update for May 1 — cases continue to fall in #Lao PDR, #Malaysia, #Thailand #COVID19Asean
via @AecNewsToday 

#Independent #Asean #journalism based in #Cambodia 

#StayHome #isolate #prepare #WearAMask

https://t.co/Q3QS9GHImx https://t.co/quexTuXsz8",2020-05-01 03:16:14,1256059829183021058,3265583034,AecNewsToday,Cambodia,,,,"['COVID19', 'Lao', 'Malaysia', 'Thailand', 'COVID19Asean', 'Independent', 'Asean', 'journalism', 'Cambodia', 'StayHome', 'isolate', 'prepare', 'WearAMask']",5,1,en,Buffer,,
