Tweet Text,Tweet Datetime,Tweet Id,User Id,User Name,User Location,Tweet Coordinates,Place Info,Country,Hashtags,Retweets,Favorites,Language,Source,Replied Tweet Id,Replied Tweet User Id
I love Barack Obama. #Vote2020 #VoteBidenHarrisToSaveAmerica #WearAMask  #VoteBlue https://t.co/HJU46LSns7,2020-11-01 00:01:06,1322690089135296514,599753556,KKChiMo,"New York, NY",,,,"['Vote2020', 'VoteBidenHarrisToSaveAmerica', 'WearAMask', 'VoteBlue']",0,0,en,Twitter for iPad,,
"#RememberTheDead 
230k+ dead from #Covid19USA 
#WearAMask https://t.co/fi5w2eL85d",2020-11-01 00:01:09,1322690102716473344,1253916946929799169,ditvose,,,,,"['RememberTheDead', 'Covid19USA', 'WearAMask']",2,1,en,Twitter Web App,,
"To all of us who are struggling today...
You Can Do It

#SaturdayMotivation 
#ThinkBIGSundayWithMarsha
#Wisdom
#Peace
#BeTheChange
#WearAMask https://t.co/eVTf0HPjzX",2020-11-01 00:02:03,1322690327078227969,73747558,GreggMasters,,,,,"['SaturdayMotivation', 'ThinkBIGSundayWithMarsha', 'Wisdom', 'Peace', 'BeTheChange', 'WearAMask']",3,1,en,Twitter for iPhone,,
"To all of us who are struggling today...
You Can Do It

#SaturdayMotivation 
#ThinkBIGSundayWithMarsha
#Wisdom
#Peace
#BeTheChange
#WearAMask https://t.co/wgGOA365Pz",2020-11-01 00:02:58,1322690561011339265,73747558,GreggMasters,,,,,"['SaturdayMotivation', 'ThinkBIGSundayWithMarsha', 'Wisdom', 'Peace', 'BeTheChange', 'WearAMask']",2,3,en,Twitter for iPhone,,
"RT @Angelux1111: #WearAMaskSaveALife 

“If 80% of Americans wore masks, COVID-19 infections would plummet, new study says.”

WEAR A MASK!…",2020-11-01 00:03:14,1322690624764715008,31122373,jujusl,,,,,['WearAMaskSaveALife'],111,0,en,Twitter for iPhone,,
"RT @ditvose: #RememberTheDead 
230k+ dead from #Covid19USA 
#WearAMask https://t.co/fi5w2eL85d",2020-11-01 00:03:28,1322690686416637953,1139131932988416002,MaggGran,Home of the Run On Sentance,,,,"['RememberTheDead', 'Covid19USA', 'WearAMask']",2,0,en,Twitter Web App,,
"@GroveKilosdad73 I have to leave and post and retweet on Democrats pages.  
It’s the only way to get our messages out. 
Right now.  We are in a bubble. 

Be careful out there.  

&amp; #WearAMask ... They are sick.",2020-11-01 00:03:48,1322690769703047168,1106758838055776257,camayusa1,🦅OneNationUnderGod🇺🇸🦅🇺🇸 ,,,,['WearAMask'],1,3,en,Twitter for iPad,1.32266059551522e+18,931277498.0
"RT @Angelux1111: #WearAMaskSaveALife 

“If 80% of Americans wore masks, COVID-19 infections would plummet, new study says.”

WEAR A MASK!…",2020-11-01 00:03:56,1322690804264038400,485449691,GayLynnBath,"Salem, Oregon",,,,['WearAMaskSaveALife'],111,0,en,Twitter for iPhone,,
"This is one of my favorite example of ancient #Wisdom still reaching out to teach us! I use it as an affirmation. Maybe you’d like to as well. 

#SaturdayMotivation
#ThinkBIGSundayWithMarsha 
#Peace
#Insight
#Hawaiian 
#BeTheChange
#WearAMask https://t.co/evjrGzZSFf",2020-11-01 00:04:16,1322690887009390592,73747558,GreggMasters,,,,,"['Wisdom', 'SaturdayMotivation', 'ThinkBIGSundayWithMarsha', 'Peace', 'Insight', 'Hawaiian', 'BeTheChange', 'WearAMask']",3,4,en,Twitter for iPhone,,
Missing socialization this Halloween #WearAMask #Halloween2020 https://t.co/Ruph1Mot16,2020-11-01 00:07:25,1322691678797471745,75122270,mochamaw,Adulthood (Unfortunately) ,,,,"['WearAMask', 'Halloween2020']",0,0,en,Twitter for iPhone,,
"Okay folks, I hate to cut you off when it’s getting good, but I have a zoom Halloween party starting right now! If you have questions, just keep going. You know I’ll come back later to answer them. Stay home, stay safe and
#WearAMask",2020-11-01 00:08:03,1322691839841964033,1239638212785704960,AltGovDoc,BlueMarble,,,,['WearAMask'],0,16,en,Twitter for iPhone,1.3226776235547443e+18,1.239638212785705e+18
"Allow some #Empathy into your life today...

#SaturdayMotivation
#ThinkBIGSundayWithMarsha
#Wisdom
#Peace
#Insight
#BeTheChange
#WearAMask https://t.co/gdS07LkQMW",2020-11-01 00:08:06,1322691851661594624,73747558,GreggMasters,,,,,"['Empathy', 'SaturdayMotivation', 'ThinkBIGSundayWithMarsha', 'Wisdom', 'Peace', 'Insight', 'BeTheChange', 'WearAMask']",4,3,en,Twitter for iPhone,,
RT @CDCDirector: #WearAMask in public to help slow the spread of COVID-19 but be sure to wear it the right way. Position your mask so that…,2020-11-01 00:10:06,1322692354483064832,128604687,LatinosMatter,USA,,,,['WearAMask'],1939,0,en,Twitter Web App,,
"Happy Halloween 

#Halloween #Halloween2020 #wearamask #HalloweenAtHome https://t.co/vG8vir7yeB",2020-11-01 00:11:11,1322692626286628864,1277850942810009601,Matts_kings,"Oklahoma, USA",,,,"['Halloween', 'Halloween2020', 'wearamask', 'HalloweenAtHome']",0,0,en,Twitter for iPhone,,
"This says it all! ❤ My favorite President and the next President of the United States!!! 🔥💙🌊
#IVoted #WearAMask
#DemVoice1 https://t.co/VUDVRz51PQ",2020-11-01 00:11:39,1322692743043321856,1164277836745601025,customcore7,So Cal        Bday 🎉 Sept 10,,,,"['IVoted', 'WearAMask', 'DemVoice1']",47,135,en,Twitter for Android,,
"NEW: @realDonaldTrump left his supporters out in the cold, again.

#WearAMask and #Vote for someone who cares about your health and well-being #VoteBidenHarris #VoteHealth https://t.co/iGM8rVXhod",2020-11-01 00:13:41,1322693257084633088,738806388,DataDrivenMD,"Silicon Valley, CA",,,,"['WearAMask', 'Vote', 'VoteBidenHarris', 'VoteHealth']",63,106,en,Twitter for Mac,,
"RT @customcore7: This says it all! ❤ My favorite President and the next President of the United States!!! 🔥💙🌊
#IVoted #WearAMask
#DemVoice1",2020-11-01 00:15:07,1322693617413099520,1108563509225242624,Allen58B,"Los Angeles, CA",,,,"['IVoted', 'WearAMask', 'DemVoice1']",47,0,en,Twitter for iPhone,,
@adrielhampton @JoeBiden @Roots_Action When out and about ready to #vote please #WearAMask and we have gorgeous 😍 for you. Please retweet and share.sharing is caring. https://t.co/vB2gyEMYKh,2020-11-01 00:16:20,1322693921504432128,99215654,nicholaskamau,Raleigh North Carolina ,,,,"['vote', 'WearAMask']",0,0,en,Twitter for Android,1.322688815136342e+18,15250836.0
Grocery store gear. #WearADamnMask https://t.co/auFzU4smIO,2020-11-01 00:17:42,1322694269174501378,97106823,bobcesca_go,"Washington, DC",,,,['WearADamnMask'],34,555,en,Twitter for iPhone,,
"RT @DataDrivenMD: NEW: @realDonaldTrump left his supporters out in the cold, again.

#WearAMask and #Vote for someone who cares about your…",2020-11-01 00:20:19,1322694924748255233,73147775,pjmaj,"Oakland, California",,,,"['WearAMask', 'Vote']",63,0,en,Twitter Web App,,
"HEY EVERYBODY! IF YOU’RE OUT PARTYING OR TRICK-OR-TREATING, BE SAFE! #WearAMask #HappyHalloween2020 https://t.co/4XquDpyFoT",2020-11-01 00:21:19,1322695177002078209,1658262631,RealDonMancini,"Los Angeles, CA",,,,"['WearAMask', 'HappyHalloween2020']",30,356,en,Twitter for iPhone,,
"#WearADamnMask 
Check out this item in my Etsy shop https://t.co/BVHQpv0jYX",2020-11-01 00:22:06,1322695375636045825,2425746700,sojo_jonathan,,,,,['WearADamnMask'],0,0,en,Twitter for Android,,
thread 👇🏻Only a landslide will do. #getoutthevote #voteforyourlives Review world history and you can spot the signs and similarities. #VoteReady #ProtectTheVote #DropOffYourBallot #VoteInPerson #VoteBiden #VoteBidenHarris #VoteVets #c19 #WearAMask https://t.co/4RAS1h5MIy,2020-11-01 00:26:29,1322696479606214656,122975412,primanirules,London ,,,,"['getoutthevote', 'voteforyourlives', 'VoteReady', 'ProtectTheVote', 'DropOffYourBallot', 'VoteInPerson', 'VoteBiden', 'VoteBidenHarris', 'VoteVets', 'c19', 'WearAMask']",0,0,en,Twitter for iPhone,,
"RT @CDCemergency: This #Halloween, take steps to protect yourself and others against #COVID19 and #flu. #WearAMask, wash your hands, stay o…",2020-11-01 00:29:47,1322697307989696514,938422707309424640,MichaelWWalton,"Charlottesville, VA",,,,"['Halloween', 'COVID19', 'flu', 'WearAMask']",23,0,en,Twitter Web App,,
"RT @DataDrivenMD: NEW: @realDonaldTrump left his supporters out in the cold, again.

#WearAMask and #Vote for someone who cares about your…",2020-11-01 00:30:14,1322697420396965888,15544743,MostlyArt,Denver,,,,"['WearAMask', 'Vote']",63,0,en,Twitter Web App,,
"RT @glitter_2em13: Thank you for your manners🧡🖤

Enjoy #Halloween2020

#WearAMask 
#em https://t.co/6Zw5rGuzob",2020-11-01 00:30:52,1322697579763826690,905474679149907968,sha_ji1,,,,,"['Halloween2020', 'WearAMask', 'em']",107,0,en,Twitter Web App,,
Thanks for #WearAMask ladies!  Well done! https://t.co/VQ8CgVOQRS,2020-11-01 00:32:18,1322697940062842880,57552477,SLSGtournaments,St. Louis Missouri,,,,['WearAMask'],0,8,en,Twitter for iPhone,,
"RT @ivannizzle: drop ur fave mask selfies here! 
#WearAMask https://t.co/l7CmfLvAz4",2020-11-01 00:34:51,1322698584710590465,949398000220147712,RenxSen4,"New Brunswick, NJ",,,,['WearAMask'],3,0,en,Twitter for iPhone,,
