Tweet Text,Tweet Datetime,Tweet Id,User Id,User Name,User Location,Tweet Coordinates,Place Info,Country,Hashtags,Retweets,Favorites,Language,Source,Replied Tweet Id,Replied Tweet User Id
Wash your hands. 👐 Wear a mask. 😷 Social distance. ↔️ Do your part DC. #wearamask #DCtogether https://t.co/CcQ2Aq2H0M,2020-10-01 00:00:00,1311455787236175874,112476986,goDCgo,"Washington, DC",,,,"['wearamask', 'DCtogether']",2,1,en,HubSpot,,
@joncoopertweets Please help support small business!! 😷 #MaskUp please share/RT thank you 🙏🏻 #RESISTERS 🙏🏻💙 https://t.co/99Wex8o3q0  #WearAMask                     YOUR VOTE MATTERS #Maskup #WearADamnMask #COVID19🙏🏻 stay safe!,2020-10-01 00:00:32,1311455924377141248,1287781875742674947,BrooklynCoastal,United States,,,,"['MaskUp', 'RESISTERS', 'WearAMask', 'Maskup', 'WearADamnMask', 'COVID19']",0,0,en,Twitter for iPhone,1.3114451809066437e+18,27493883.0
RT @goldenteddy2018: Always ensure your human is properly muzzled when taking them out on walks #WearAMask https://t.co/Yku4TwdzTg,2020-10-01 00:04:26,1311456904196042754,1161900226111655936,VinothAbq,,,,,['WearAMask'],32,0,en,Twitter for iPhone,,
"RT @setiogi: #DearJimin
Sorry that you didn’t feel well recently 😔 Glad that you are all better now! ☺️
Thank you for #WearAMask, as always…",2020-10-01 00:06:19,1311457376894160896,2576800232,Pralee1980,USA,,,,"['DearJimin', 'WearAMask']",659,0,en,Twitter for iPhone,,
"@Jim_Jordan This is Trumps America. Maybe pull your head out of his ass and look around. Oh wait you probably enjoy it in there. #Vote #WearAMask 
#DumpTrump2020",2020-10-01 00:06:47,1311457496846995457,3102358020,paintedsmyles,,,,,"['Vote', 'WearAMask', 'DumpTrump2020']",0,0,en,Twitter Web App,1.3111268650300662e+18,18166778.0
"RT @Ageaus: ~CURSED MASKS~

For gregoro (FA) #wearamask and let the inner donk bray!

#TFEveryday https://t.co/I8srP6b43V",2020-10-01 00:07:08,1311457583258099713,4696808448,LuciferWolfe666,"York, PA",,,,"['wearamask', 'TFEveryday']",40,0,en,Twitter for Android,,
"34 million cases worldwide, over 1 million dead. 
7.3 million cases in the US, 210k dead. 
300k new cases daily across the globe. 
Why some are convinced that #COVID19 is either a hoax or a plot to oust #Trump defies common sense. 

It's a #pandemic, NOT political. 
#WearAMask https://t.co/1FcCE8hDQz",2020-10-01 00:09:21,1311458142769819649,2845889480,Icingdeathe,Ethereally here...,,,,"['COVID19', 'Trump', 'pandemic', 'WearAMask']",0,0,en,Twitter Web App,,
"RT @setiogi: #DearJimin
Sorry that you didn’t feel well recently 😔 Glad that you are all better now! ☺️
Thank you for #WearAMask, as always…",2020-10-01 00:11:29,1311458677124001792,1046163817669906432,miraclejmn,jimin's magical world,,,,"['DearJimin', 'WearAMask']",659,0,en,Twitter for Android,,
"This thing is horrible and it takes a freaking long time to go away. Plus, I am deeply worried it will suddenly get really bad. It is definitely not comparable to a flu or cold.

How is everyone not hiding their homes? Are you idiots?

#WearADamnMask and #StayHome!
#COVID19",2020-10-01 00:13:33,1311459198878834688,20882602,colmmacn,"Rhode Island, USA",,,,"['WearADamnMask', 'StayHome', 'COVID19']",0,0,en,Twitter for Android,,
"RT @DrTedros: Thank you, @BTS_twt J-Hope for reminding #BTSARMY to #WearAMask as families gather together and celebrate #ChuSeok holiday th…",2020-10-01 00:15:41,1311459736605192192,743722498533974016,hotteokooky,🍊,,,,"['BTSARMY', 'WearAMask', 'ChuSeok']",15114,0,en,Twitter for Android,,
