Tweet Text,Tweet Datetime,Tweet Id,User Id,User Name,User Location,Tweet Coordinates,Place Info,Country,Hashtags,Retweets,Favorites,Language,Source,Replied Tweet Id,Replied Tweet User Id,month,ground_truth,ID
#ANYMASK IS BETTER THAN #NOMASK😷😷,2020-04-01 02:34:14,1245177623199846400,1242016271438417920,Amy59083153,,,,,"['ANYMASK', 'NOMASK']",0,0,en,Twitter for Android,,,April,0,0_April_0000001
"#nomasks POTUS should jump on AF1 tonight, fly to Minneapolis, go to 3M HQ, knock on Romans door and demand American masks for Americans.",2020-04-03 00:29:08,1245870915650347008,1103766008496615425,LillisMilan,,,,,['nomasks'],2,1,en,Twitter for iPhone,,,April,0,0_April_0000002
"RT @LillisMilan: #nomasks POTUS should jump on AF1 tonight, fly to Minneapolis, go to 3M HQ, knock on Romans door and demand American masks…",2020-04-03 00:31:09,1245871426491396096,4498207102,ELillis3,"S.H., OH, USA",,,,['nomasks'],2,0,en,Twitter for Android,,,April,0,0_April_0000003
"Still debating #mask/#nomask? Real question: Can we make them available to our people? Answer: No. 

Let’s be honest: We don’t have #masks because #USA has outsourced the making of #PPE to #CCPChina and didn’t start making them when #CCPCoronavirus was still #epidemic https://t.co/UzhmI1Tx8t",2020-04-04 00:53:58,1246239554664837120,1187132061817233408,meemeegu,,,,,"['mask', 'nomask', 'masks', 'USA', 'PPE', 'CCPChina', 'CCPCoronavirus', 'epidemic']",1,1,en,Twitter for iPad,,,April,0,0_April_0000004
"RT @meemeegu: Still debating #mask/#nomask? Real question: Can we make them available to our people? Answer: No. 

Let’s be honest: We don’…",2020-04-04 01:02:22,1246241669449764865,369185122,KLnotKOL,,,,,"['mask', 'nomask']",1,0,en,Twitter Web App,,,April,0,0_April_0000005
My contribution to the #Mask #NoMask #COVID19 debate. https://t.co/Co6m9i6ShW,2020-04-04 08:32:29,1246354944149471232,406609880,kiwiskiNZ,New Zealand,,,,"['Mask', 'NoMask', 'COVID19']",6,23,en,Twitter Web App,,,April,0,0_April_0000006
@realDonaldTrump I stand with President Trump not wearing a mask! #NoMask #COVID19 #dontbeajackass,2020-04-04 13:56:03,1246436373244129288,72578994,winnieappell,,,,,"['NoMask', 'COVID19', 'dontbeajackass']",0,3,en,Twitter for iPhone,,25073877.0,April,0,0_April_0000007
@ATT if you’re so concerned about your employees why are you making #homevisit employees where #facemasks ? This guy on the phone with me said - “I can only do what company policy requires me to do”! #NoMasks #Masks4All #mandateit #notinmyhouse ...I have to say.... https://t.co/FMe5eC9bTB,2020-04-04 16:29:16,1246474931874996225,1576280316,HallofDiamonds,"Lewisville, TX",,Goodyear Heights Metro Park,US,"['homevisit', 'facemasks', 'NoMasks', 'Masks4All', 'mandateit', 'notinmyhouse']",0,0,en,Twitter for iPhone,,14620190.0,April,0,0_April_0000008
RT @kiwiskiNZ: My contribution to the #Mask #NoMask #COVID19 debate. https://t.co/Co6m9i6ShW,2020-04-04 20:46:54,1246539764075040769,1368443882,tjelle13,"Carmel, IN",,,,"['Mask', 'NoMask', 'COVID19']",6,0,en,Twitter for iPhone,,,April,0,0_April_0000009
RT @kiwiskiNZ: My contribution to the #Mask #NoMask #COVID19 debate. https://t.co/Co6m9i6ShW,2020-04-05 01:03:36,1246604365193834497,2834710739,Chirocscs,Victoria BC eh!,,,,"['Mask', 'NoMask', 'COVID19']",6,0,en,Twitter Web App,,,April,0,0_April_0000010
